Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,1134689,24,47278.7,47344.0,44352,48096,696.7,training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214
0.1,947713,24,39488.0,39472.0,39104,40095,221.3,transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0
0.1,914881,48,19060.0,19039.5,18016,20321,594.0,gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e
0.1,739105,24,30796.0,30800.5,30719,30881,55.8,transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0
0.1,657089,2,328544.5,328544.5,327904,329185,905.8,embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543
0.0,240097,2,120048.5,120048.5,119457,120640,836.5,embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0
0.0,183617,2,91808.5,91808.5,91680,91937,181.7,embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb
0.0,167324,50,3346.5,3392.0,1888,3584,301.4,gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469
0.0,70048,2,35024.0,35024.0,34560,35488,656.2,embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf
0.0,12512,2,6256.0,6256.0,6176,6336,113.1,gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0
0.0,5024,2,2512.0,2512.0,2240,2784,384.7,training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3
0.0,3008,2,1504.0,1504.0,1440,1568,90.5,training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc
0.0,2944,2,1472.0,1472.0,1376,1568,135.8,training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8
0.0,2656,2,1328.0,1328.0,1312,1344,22.6,training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0
0.0,1792,1,1792.0,1792.0,1792,1792,0.0,transformer_impl_llama_modeli6A6A6A6A6A6A_fd7a940bfe0354a7
