NOTE: column amd-gfx942 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| et-clf-entropy-bestfirst/hashed | IDENTICAL x3 | 15d850c979726dfb | 15d850c979726dfb | 15d850c979726dfb |
| et-clf-entropy-bestfirst/negative | IDENTICAL x3 | 5a8b5c053a1e3483 | 5a8b5c053a1e3483 | 5a8b5c053a1e3483 |
| et-clf-entropy-bestfirst/odd | IDENTICAL x3 | 461aec12b620cdb4 | 461aec12b620cdb4 | 461aec12b620cdb4 |
| et-clf-entropy-bestfirst/ties | IDENTICAL x3 | a0d605cf6f4074fe | a0d605cf6f4074fe | a0d605cf6f4074fe |
| et-clf-entropy-bestfirst/wide | IDENTICAL x3 | c22aba892dd97c04 | c22aba892dd97c04 | c22aba892dd97c04 |
| et-clf/base                  | IDENTICAL x3 | c586b27a3b049614 | c586b27a3b049614 | c586b27a3b049614 |
| et-clf/denormal              | IDENTICAL x3 | b40377fb35e52909 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/denormal_ftz          | IDENTICAL x3 | b40377fb35e52909 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/dupes                 | IDENTICAL x3 | a24dcc8a93f699ff | a24dcc8a93f699ff | a24dcc8a93f699ff |
| et-clf/hashed                | IDENTICAL x3 | eb7aaadcd0843a6d | eb7aaadcd0843a6d | eb7aaadcd0843a6d |
| et-clf/negative              | IDENTICAL x3 | e1409786c462d97b | e1409786c462d97b | e1409786c462d97b |
| et-clf/odd                   | IDENTICAL x3 | 1da918353bb9f10e | 1da918353bb9f10e | 1da918353bb9f10e |
| et-clf/ties                  | IDENTICAL x3 | 604f59c7a4203eeb | 604f59c7a4203eeb | 604f59c7a4203eeb |
| et-clf/wide                  | IDENTICAL x3 | ee8b318d6bf698b2 | ee8b318d6bf698b2 | ee8b318d6bf698b2 |
| et-reg-bootstrap-parallel/base | IDENTICAL x3 | 19364c9a090a07bf | 19364c9a090a07bf | 19364c9a090a07bf |
| et-reg-bootstrap-parallel/denormal | IDENTICAL x3 | 2db72056e0c1f349 | 2db72056e0c1f349 | 2db72056e0c1f349 |
| et-reg-bootstrap-parallel/denormal_ftz | IDENTICAL x3 | 2db72056e0c1f349 | 2db72056e0c1f349 | 2db72056e0c1f349 |
