| lane/fixture                 | verdict    | apple-m4         | amd-gfx942       | amd-2xmi300x-gfx942 |
| et-clf-entropy-bestfirst/dupes | IDENTICAL x2 | 4c48027f6644d462 | 4c48027f6644d462 | (not run)        |
| et-clf-entropy-bestfirst/hashed | IDENTICAL x2 | 15d850c979726dfb | 15d850c979726dfb | (not run)        |
| et-clf-entropy-bestfirst/negative | IDENTICAL x2 | 5a8b5c053a1e3483 | 5a8b5c053a1e3483 | (not run)        |
| et-clf-entropy-bestfirst/odd | IDENTICAL x2 | 461aec12b620cdb4 | 461aec12b620cdb4 | (not run)        |
| et-clf-entropy-bestfirst/ties | IDENTICAL x2 | a0d605cf6f4074fe | a0d605cf6f4074fe | (not run)        |
| et-clf-entropy-bestfirst/wide | IDENTICAL x2 | c22aba892dd97c04 | c22aba892dd97c04 | (not run)        |
| et-clf/base                  | IDENTICAL x2 | c586b27a3b049614 | c586b27a3b049614 | (not run)        |
| et-clf/denormal              | IDENTICAL x2 | b40377fb35e52909 | b40377fb35e52909 | (not run)        |
| et-clf/denormal_ftz          | IDENTICAL x2 | b40377fb35e52909 | b40377fb35e52909 | (not run)        |
| et-clf/dupes                 | IDENTICAL x2 | a24dcc8a93f699ff | a24dcc8a93f699ff | (not run)        |
| et-clf/hashed                | IDENTICAL x2 | eb7aaadcd0843a6d | eb7aaadcd0843a6d | (not run)        |
| et-clf/negative              | IDENTICAL x2 | e1409786c462d97b | e1409786c462d97b | (not run)        |
| et-clf/odd                   | IDENTICAL x2 | 1da918353bb9f10e | 1da918353bb9f10e | (not run)        |
| et-clf/ties                  | IDENTICAL x2 | 604f59c7a4203eeb | 604f59c7a4203eeb | (not run)        |
| et-clf/wide                  | IDENTICAL x2 | ee8b318d6bf698b2 | ee8b318d6bf698b2 | (not run)        |
| et-reg-bootstrap-parallel/base | IDENTICAL x2 | 19364c9a090a07bf | 19364c9a090a07bf | (not run)        |
| et-reg-bootstrap-parallel/denormal | IDENTICAL x2 | 2db72056e0c1f349 | 2db72056e0c1f349 | (not run)        |
| et-reg-bootstrap-parallel/denormal_ftz | IDENTICAL x2 | 2db72056e0c1f349 | 2db72056e0c1f349 | (not run)        |
| et-reg-bootstrap-parallel/dupes | IDENTICAL x2 | 5e17e8c07de7964f | 5e17e8c07de7964f | (not run)        |
| et-reg-bootstrap-parallel/hashed | IDENTICAL x2 | a62b714ab1e0ae24 | a62b714ab1e0ae24 | (not run)        |
| et-reg-bootstrap-parallel/negative | IDENTICAL x2 | a9c4589c8d79c6a9 | a9c4589c8d79c6a9 | (not run)        |
| et-reg-bootstrap-parallel/odd | IDENTICAL x2 | c7241fe5a82049b3 | c7241fe5a82049b3 | (not run)        |
| et-reg-bootstrap-parallel/ties | IDENTICAL x2 | f9f4327d4f1928cc | f9f4327d4f1928cc | (not run)        |
| et-reg-bootstrap-parallel/wide | IDENTICAL x2 | d1c206224be7d638 | d1c206224be7d638 | (not run)        |
| et-reg/base                  | IDENTICAL x2 | 754d8c127ecfc04d | 754d8c127ecfc04d | (not run)        |
| et-reg/denormal              | IDENTICAL x2 | 19a23f6fea44befd | 19a23f6fea44befd | (not run)        |
| et-reg/denormal_ftz          | IDENTICAL x2 | 19a23f6fea44befd | 19a23f6fea44befd | (not run)        |
| et-reg/dupes                 | IDENTICAL x2 | 9a63fea590f79a67 | 9a63fea590f79a67 | (not run)        |
| et-reg/hashed                | IDENTICAL x2 | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | (not run)        |
| et-reg/negative              | IDENTICAL x2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | (not run)        |
| et-reg/odd                   | IDENTICAL x2 | c9fe7c90673c2661 | c9fe7c90673c2661 | (not run)        |
| et-reg/ties                  | IDENTICAL x2 | e7072e1c8fe0083c | e7072e1c8fe0083c | (not run)        |
| et-reg/wide                  | IDENTICAL x2 | b745e53515f59cac | b745e53515f59cac | (not run)        |
| gbdt-adapter-clf/base        | IDENTICAL x2 | 933184700a044eb2 | 933184700a044eb2 | (not run)        |
| gbdt-adapter-clf/denormal    | IDENTICAL x2 | 933184700a044eb2 | 933184700a044eb2 | (not run)        |
| gbdt-adapter-clf/denormal_ftz | IDENTICAL x2 | 933184700a044eb2 | 933184700a044eb2 | (not run)        |
| gbdt-adapter-clf/dupes       | IDENTICAL x2 | 6c3582dfcd94bc9c | 6c3582dfcd94bc9c | (not run)        |
| gbdt-adapter-clf/hashed      | IDENTICAL x2 | dd5bb5e8c3018e9a | dd5bb5e8c3018e9a | (not run)        |
| gbdt-adapter-clf/negative    | IDENTICAL x2 | 9aa127676f821c18 | 9aa127676f821c18 | (not run)        |
| gbdt-adapter-clf/odd         | IDENTICAL x2 | f8f56dac8e714ab8 | f8f56dac8e714ab8 | (not run)        |
| gbdt-adapter-clf/ties        | IDENTICAL x2 | 492cbf5fbc9e6304 | 492cbf5fbc9e6304 | (not run)        |
| gbdt-adapter-clf/wide        | IDENTICAL x2 | 2c52f777f933c7cc | 2c52f777f933c7cc | (not run)        |
| gbdt-adapter-reg/base        | IDENTICAL x2 | 3f8aef8d73be249c | 3f8aef8d73be249c | (not run)        |
| gbdt-adapter-reg/denormal    | IDENTICAL x2 | 400f099e655dc453 | 400f099e655dc453 | (not run)        |
| gbdt-adapter-reg/denormal_ftz | IDENTICAL x2 | 400f099e655dc453 | 400f099e655dc453 | (not run)        |
| gbdt-adapter-reg/dupes       | IDENTICAL x2 | 49848bfd3c26b52e | 49848bfd3c26b52e | (not run)        |
| gbdt-adapter-reg/hashed      | IDENTICAL x2 | a89dba586c0f1ab4 | a89dba586c0f1ab4 | (not run)        |
| gbdt-adapter-reg/negative    | IDENTICAL x2 | e54f74cdab3f29f0 | e54f74cdab3f29f0 | (not run)        |
| gbdt-adapter-reg/odd         | IDENTICAL x2 | 7b54ca9d69e29714 | 7b54ca9d69e29714 | (not run)        |
| gbdt-adapter-reg/ties        | IDENTICAL x2 | 88cba1574daa922e | 88cba1574daa922e | (not run)        |
| gbdt-adapter-reg/wide        | IDENTICAL x2 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 | (not run)        |
| gbdt-categorical-ctr/base    | IDENTICAL x2 | 3c492b90c998f095 | 3c492b90c998f095 | (not run)        |
| gbdt-categorical-ctr/denormal | IDENTICAL x2 | 3c492b90c998f095 | 3c492b90c998f095 | (not run)        |
| gbdt-categorical-ctr/denormal_ftz | IDENTICAL x2 | 3c492b90c998f095 | 3c492b90c998f095 | (not run)        |
| gbdt-categorical-ctr/dupes   | IDENTICAL x2 | ee68c4c16449a9d5 | ee68c4c16449a9d5 | (not run)        |
| gbdt-categorical-ctr/hashed  | IDENTICAL x2 | 107f80749876299b | 107f80749876299b | (not run)        |
| gbdt-categorical-ctr/negative | IDENTICAL x2 | 8b6ff846e24d5317 | 8b6ff846e24d5317 | (not run)        |
| gbdt-categorical-ctr/odd     | IDENTICAL x2 | 3f1f7468b711f825 | 3f1f7468b711f825 | (not run)        |
| gbdt-categorical-ctr/ties    | IDENTICAL x2 | b19fd4bbd5430219 | b19fd4bbd5430219 | (not run)        |
| gbdt-categorical-ctr/wide    | IDENTICAL x2 | d2746faae8d63897 | d2746faae8d63897 | (not run)        |
| gbdt-depthwise/base          | IDENTICAL x2 | 38726fc0c93c0bff | 38726fc0c93c0bff | (not run)        |
| gbdt-depthwise/denormal      | IDENTICAL x2 | 64ba350c759ff2e9 | 64ba350c759ff2e9 | (not run)        |
| gbdt-depthwise/denormal_ftz  | IDENTICAL x2 | 64ba350c759ff2e9 | 64ba350c759ff2e9 | (not run)        |
| gbdt-depthwise/dupes         | IDENTICAL x2 | e521424a96e216cb | e521424a96e216cb | (not run)        |
| gbdt-depthwise/hashed        | IDENTICAL x2 | 9455870882645f48 | 9455870882645f48 | (not run)        |
| gbdt-depthwise/negative      | IDENTICAL x2 | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 | (not run)        |
| gbdt-depthwise/odd           | IDENTICAL x2 | fb9e5c03088814f6 | fb9e5c03088814f6 | (not run)        |
| gbdt-depthwise/ties          | IDENTICAL x2 | 465cb10f303e005a | 465cb10f303e005a | (not run)        |
| gbdt-depthwise/wide          | IDENTICAL x2 | 2a77ec865e62539a | 2a77ec865e62539a | (not run)        |
| gbdt-exact-mae/base          | IDENTICAL x2 | 2c8a23ac5ef0b570 | 2c8a23ac5ef0b570 | (not run)        |
| gbdt-exact-mae/denormal      | IDENTICAL x2 | 8aadaf501b445bb2 | 8aadaf501b445bb2 | (not run)        |
| gbdt-exact-mae/denormal_ftz  | IDENTICAL x2 | 8aadaf501b445bb2 | 8aadaf501b445bb2 | (not run)        |
| gbdt-exact-mae/dupes         | IDENTICAL x2 | dd7a34caa5d0e601 | dd7a34caa5d0e601 | (not run)        |
| gbdt-exact-mae/hashed        | IDENTICAL x2 | 87e677565b7d6752 | 87e677565b7d6752 | (not run)        |
| gbdt-exact-mae/negative      | IDENTICAL x2 | 35479cfde1dd0d69 | 35479cfde1dd0d69 | (not run)        |
| gbdt-exact-mae/odd           | IDENTICAL x2 | 62e0e9af15af59e8 | 62e0e9af15af59e8 | (not run)        |
| gbdt-exact-mae/ties          | IDENTICAL x2 | 65948ea43ed2efdd | 65948ea43ed2efdd | (not run)        |
| gbdt-exact-mae/wide          | IDENTICAL x2 | ceccde877271335e | ceccde877271335e | (not run)        |
| gbdt-feature-freq/base       | IDENTICAL x2 | 7d9c56b51213cb42 | 7d9c56b51213cb42 | (not run)        |
| gbdt-feature-freq/denormal   | IDENTICAL x2 | e7f1da14d1a9794b | e7f1da14d1a9794b | (not run)        |
| gbdt-feature-freq/denormal_ftz | IDENTICAL x2 | e7f1da14d1a9794b | e7f1da14d1a9794b | (not run)        |
| gbdt-feature-freq/dupes      | IDENTICAL x2 | e8c61a9407503755 | e8c61a9407503755 | (not run)        |
| gbdt-feature-freq/hashed     | IDENTICAL x2 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 | (not run)        |
| gbdt-feature-freq/negative   | IDENTICAL x2 | 75028913a14bb938 | 75028913a14bb938 | (not run)        |
| gbdt-feature-freq/odd        | IDENTICAL x2 | c481331145bfb998 | c481331145bfb998 | (not run)        |
| gbdt-feature-freq/ties       | IDENTICAL x2 | 57ff9964d1af1d4a | 57ff9964d1af1d4a | (not run)        |
| gbdt-feature-freq/wide       | IDENTICAL x2 | c6d7fccba2483372 | c6d7fccba2483372 | (not run)        |
