NOTE: --lanes scopes this diff to 3 lane(s); 0 other lane(s) the JSONs carry are not compared
| lane/fixture                 | verdict    | arm64            | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | arm64            |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| ivf/ties                     | infer  | IDENTICAL x4 | c62b1be91d40fc43 | c62b1be91d40fc43 | c62b1be91d40fc43 | c62b1be91d40fc43 |
| ivf/ties                     | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 2254dcdb3f209c1d |
| ivf/ties                     | batch  | IDENTICAL x4 | 166f61a6e1f346b8 | 166f61a6e1f346b8 | 166f61a6e1f346b8 | 166f61a6e1f346b8 |
| ivf/wide                     | infer  | IDENTICAL x4 | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 |
| ivf/wide                     | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 809bc63c73b2c093 |
| ivf/wide                     | batch  | IDENTICAL x4 | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 |

summary (infer/model): IDENTICAL=18, ONE-COLUMN=36
summary (batch): IDENTICAL=18, ONE-COLUMN=9
summary (rlpair): 
