NOTE: --lanes scopes this diff to 3 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9655p-96-core-processor is a CPU column: cpu_model='AMD EPYC 9655P 96-Core Processor' column=cpu families=['_mojolearn_ivf_host', '_mojolearn_ivf_search_host'] commit=2ce48b333b8442d8994909f71d0d12d2d6418ecb
| lane/fixture                 | verdict    | arm64            | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | arm64            | cpu-amd-epyc-9655p-96-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|------------------|
| ivf/denormal                 | batch  | DIVERGENT    | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 | 31f8ac45bb02788c |
| ivf/denormal_ftz             | infer  | DIVERGENT    | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf | d284171e5a4de109 |
| ivf/denormal_ftz             | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | 1f2b8dd1cf726bc0 | 6edc73f973d5ad4d |
| ivf/denormal_ftz             | batch  | DIVERGENT    | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 | 31f8ac45bb02788c |
| ivf/dupes                    | infer  | DIVERGENT    | 4ae50eab359ba1e9 | 4ae50eab359ba1e9 | 4ae50eab359ba1e9 | 4ae50eab359ba1e9 | 654123dbd19d191c |
| ivf/dupes                    | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | 3163ed44a2b28c07 | a9eb68460d90a4d4 |
| ivf/dupes                    | batch  | DIVERGENT    | 99ec531fb8ae409f | 99ec531fb8ae409f | 99ec531fb8ae409f | 99ec531fb8ae409f | 69604023c2b5a3f3 |
| ivf/hashed                   | infer  | DIVERGENT    | 49c22df302ee0334 | 49c22df302ee0334 | 49c22df302ee0334 | 49c22df302ee0334 | 43352701244f99e3 |
| ivf/hashed                   | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | 9d809fde4ffc96cc | 693757dd240b6558 |
| ivf/hashed                   | batch  | DIVERGENT    | 648bf9fc3764372d | 648bf9fc3764372d | 648bf9fc3764372d | 648bf9fc3764372d | f839ef3186507d71 |
| ivf/negative                 | infer  | DIVERGENT    | 71333eccc89915b1 | 71333eccc89915b1 | 71333eccc89915b1 | 71333eccc89915b1 | 65d14b6aff69d03d |
| ivf/negative                 | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | ec79d31b3169a984 | cbd2f25ceda56d98 |
| ivf/negative                 | batch  | DIVERGENT    | 9786387eb7123b42 | 9786387eb7123b42 | 9786387eb7123b42 | 9786387eb7123b42 | 2b282de50729322b |
| ivf/odd                      | infer  | DIVERGENT    | 1e0c2401db49a53d | 1e0c2401db49a53d | 1e0c2401db49a53d | 1e0c2401db49a53d | 7a703db652d9d880 |
| ivf/odd                      | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | 2ab1fd5fac4563e2 | 3552a7183a2dfbfd |
| ivf/odd                      | batch  | DIVERGENT    | 8149b10d16c8ebaa | 8149b10d16c8ebaa | 8149b10d16c8ebaa | 8149b10d16c8ebaa | 6ca96aaa0fa6b3be |
| ivf/ties                     | infer  | IDENTICAL x5 | c62b1be91d40fc43 | c62b1be91d40fc43 | c62b1be91d40fc43 | c62b1be91d40fc43 | c62b1be91d40fc43 |
| ivf/ties                     | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | 2254dcdb3f209c1d | 7424044bcde7c82c |
| ivf/ties                     | batch  | IDENTICAL x5 | 166f61a6e1f346b8 | 166f61a6e1f346b8 | 166f61a6e1f346b8 | 166f61a6e1f346b8 | 166f61a6e1f346b8 |
| ivf/wide                     | infer  | DIVERGENT    | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 | b0699db536ad83be |
| ivf/wide                     | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | 809bc63c73b2c093 | 9e17286190ae60a2 |
| ivf/wide                     | batch  | DIVERGENT    | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 | d21044cc8595b236 |

summary (infer/model): DIVERGENT=53, IDENTICAL=1
summary (batch): DIVERGENT=26, IDENTICAL=1
summary (rlpair): 
require-columns 4 over ['ivf', 'ivf-euclidean', 'ivf-extend']: OK
