| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-mi325x-gfx942 |
| ols/ties                     | IDENTICAL x3 | c73c0c1158ebcb9e | c73c0c1158ebcb9e | c73c0c1158ebcb9e |
| ols/wide                     | IDENTICAL x3 | 880f803e2a9840cf | 880f803e2a9840cf | 880f803e2a9840cf |
| pca/base                     | IDENTICAL x3 | 426e098860cb885e | 426e098860cb885e | 426e098860cb885e |
| pca/denormal                 | IDENTICAL x3 | 632dd2d41a856846 | 632dd2d41a856846 | 632dd2d41a856846 |
| pca/denormal_ftz             | IDENTICAL x3 | 632dd2d41a856846 | 632dd2d41a856846 | 632dd2d41a856846 |
| pca/dupes                    | IDENTICAL x3 | f0d80567379e28e4 | f0d80567379e28e4 | f0d80567379e28e4 |
| pca/hashed                   | IDENTICAL x3 | 9c43c580f84b913e | 9c43c580f84b913e | 9c43c580f84b913e |
| pca/negative                 | IDENTICAL x3 | c4903e2bddacb305 | c4903e2bddacb305 | c4903e2bddacb305 |
| pca/odd                      | IDENTICAL x3 | 2bde4e929e103470 | 2bde4e929e103470 | 2bde4e929e103470 |
| pca/ties                     | IDENTICAL x3 | 2cc3098a82f5e29c | 2cc3098a82f5e29c | 2cc3098a82f5e29c |
| pca/wide                     | IDENTICAL x3 | ee30334357c2fe6e | ee30334357c2fe6e | ee30334357c2fe6e |
| rf-clf/base                  | IDENTICAL x3 | 21178dc5457bf5dc | 21178dc5457bf5dc | 21178dc5457bf5dc |
| rf-clf/denormal              | IDENTICAL x3 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c |
| rf-clf/denormal_ftz          | IDENTICAL x3 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c |
| rf-clf/dupes                 | IDENTICAL x3 | 941ea7485b906b92 | 941ea7485b906b92 | 941ea7485b906b92 |
| rf-clf/hashed                | IDENTICAL x3 | 30000a54b1ebf87f | 30000a54b1ebf87f | 30000a54b1ebf87f |
| rf-clf/negative              | IDENTICAL x3 | 5c321c2a1e99f705 | 5c321c2a1e99f705 | 5c321c2a1e99f705 |
| rf-clf/odd                   | IDENTICAL x3 | 8eadf0d0c523cf9a | 8eadf0d0c523cf9a | 8eadf0d0c523cf9a |
| rf-clf/ties                  | IDENTICAL x3 | 578c313bdad14449 | 578c313bdad14449 | 578c313bdad14449 |
| rf-clf/wide                  | IDENTICAL x3 | e57dc48ebb4fda48 | e57dc48ebb4fda48 | e57dc48ebb4fda48 |
| rf-reg/base                  | IDENTICAL x3 | f032017cfd1c73dd | f032017cfd1c73dd | f032017cfd1c73dd |
| rf-reg/denormal              | IDENTICAL x3 | feed3869ba06eaf7 | feed3869ba06eaf7 | feed3869ba06eaf7 |
| rf-reg/denormal_ftz          | IDENTICAL x3 | feed3869ba06eaf7 | feed3869ba06eaf7 | feed3869ba06eaf7 |
| rf-reg/dupes                 | IDENTICAL x3 | 55f5becd2a3a172c | 55f5becd2a3a172c | 55f5becd2a3a172c |
| rf-reg/hashed                | IDENTICAL x3 | c755113ac878c8b9 | c755113ac878c8b9 | c755113ac878c8b9 |
| rf-reg/negative              | IDENTICAL x3 | cd81c456c75aaaf0 | cd81c456c75aaaf0 | cd81c456c75aaaf0 |
| rf-reg/odd                   | IDENTICAL x3 | 33f207a8fab32866 | 33f207a8fab32866 | 33f207a8fab32866 |
| rf-reg/ties                  | IDENTICAL x3 | ec6e7b28cd0d16a9 | ec6e7b28cd0d16a9 | ec6e7b28cd0d16a9 |
| rf-reg/wide                  | IDENTICAL x3 | 8d9b05172d7a3777 | 8d9b05172d7a3777 | 8d9b05172d7a3777 |
| ridge/base                   | IDENTICAL x3 | a91478be750dc756 | a91478be750dc756 | a91478be750dc756 |
| ridge/denormal               | IDENTICAL x3 | 2eed6e454ed965da | 2eed6e454ed965da | 2eed6e454ed965da |
| ridge/denormal_ftz           | IDENTICAL x3 | 2eed6e454ed965da | 2eed6e454ed965da | 2eed6e454ed965da |
| ridge/dupes                  | IDENTICAL x3 | c69b8fef7932da21 | c69b8fef7932da21 | c69b8fef7932da21 |
| ridge/hashed                 | IDENTICAL x3 | fb5037b3d70d60ee | fb5037b3d70d60ee | fb5037b3d70d60ee |
| ridge/negative               | IDENTICAL x3 | 473e3ff40fc67b0e | 473e3ff40fc67b0e | 473e3ff40fc67b0e |
| ridge/odd                    | IDENTICAL x3 | bdaf14e02a8f07ec | bdaf14e02a8f07ec | bdaf14e02a8f07ec |
| ridge/ties                   | IDENTICAL x3 | 42410e35cdae30cb | 42410e35cdae30cb | 42410e35cdae30cb |
| ridge/wide                   | IDENTICAL x3 | 7215c2605901cdc6 | 7215c2605901cdc6 | 7215c2605901cdc6 |
| samba-untied-dropout-accum/base | IDENTICAL x3 | 4610c84719bc1a25 | 4610c84719bc1a25 | 4610c84719bc1a25 |
| samba-untied-dropout-accum/denormal | IDENTICAL x3 | 70a608ce179e03dd | 70a608ce179e03dd | 70a608ce179e03dd |
| samba-untied-dropout-accum/denormal_ftz | IDENTICAL x3 | eb0dc6c31a737411 | eb0dc6c31a737411 | eb0dc6c31a737411 |
| samba-untied-dropout-accum/dupes | IDENTICAL x3 | 9a7b9c31419aa4b9 | 9a7b9c31419aa4b9 | 9a7b9c31419aa4b9 |
| samba-untied-dropout-accum/hashed | IDENTICAL x3 | 18a317bc4260eb9a | 18a317bc4260eb9a | 18a317bc4260eb9a |
| samba-untied-dropout-accum/negative | IDENTICAL x3 | 42e27eabc8c4706f | 42e27eabc8c4706f | 42e27eabc8c4706f |
| samba-untied-dropout-accum/odd | IDENTICAL x3 | 4610c84719bc1a25 | 4610c84719bc1a25 | 4610c84719bc1a25 |
| samba-untied-dropout-accum/ties | IDENTICAL x3 | 603f4c03dcbe47c9 | 603f4c03dcbe47c9 | 603f4c03dcbe47c9 |
| samba-untied-dropout-accum/wide | IDENTICAL x3 | 70d8b0c335b40464 | 70d8b0c335b40464 | 70d8b0c335b40464 |
| samba/base                   | IDENTICAL x3 | 037e7701daa7fc7c | 037e7701daa7fc7c | 037e7701daa7fc7c |
| samba/denormal               | IDENTICAL x3 | 97c929c9824ede42 | 97c929c9824ede42 | 97c929c9824ede42 |
| samba/denormal_ftz           | IDENTICAL x3 | 2dc833bbce3de194 | 2dc833bbce3de194 | 2dc833bbce3de194 |
| samba/dupes                  | IDENTICAL x3 | daa904c0d89aefde | daa904c0d89aefde | daa904c0d89aefde |
| samba/hashed                 | IDENTICAL x3 | 0fb42364f4c84411 | 0fb42364f4c84411 | 0fb42364f4c84411 |
| samba/negative               | IDENTICAL x3 | 8c6bfc3b26396833 | 8c6bfc3b26396833 | 8c6bfc3b26396833 |
| samba/odd                    | IDENTICAL x3 | 037e7701daa7fc7c | 037e7701daa7fc7c | 037e7701daa7fc7c |
| samba/ties                   | IDENTICAL x3 | e02c7412e926a415 | e02c7412e926a415 | e02c7412e926a415 |
| samba/wide                   | IDENTICAL x3 | 68e2e32002737938 | 68e2e32002737938 | 68e2e32002737938 |
| training-primitives/base     | IDENTICAL x3 | 18d750e2cd47d7ea | 18d750e2cd47d7ea | 18d750e2cd47d7ea |
| training-primitives/denormal | IDENTICAL x3 | b93f769a32bb94c8 | b93f769a32bb94c8 | b93f769a32bb94c8 |
| training-primitives/denormal_ftz | IDENTICAL x3 | 13888a328756a01f | 13888a328756a01f | 13888a328756a01f |
| training-primitives/dupes    | IDENTICAL x3 | c88879ab86bb99ae | c88879ab86bb99ae | c88879ab86bb99ae |
| training-primitives/hashed   | IDENTICAL x3 | be6004a0851c285f | be6004a0851c285f | be6004a0851c285f |
| training-primitives/negative | IDENTICAL x3 | b291f07e5d10cfdc | b291f07e5d10cfdc | b291f07e5d10cfdc |
| training-primitives/odd      | IDENTICAL x3 | 18d750e2cd47d7ea | 18d750e2cd47d7ea | 18d750e2cd47d7ea |
| training-primitives/ties     | IDENTICAL x3 | e01da50ed7b342d5 | e01da50ed7b342d5 | e01da50ed7b342d5 |
