# DEVIATION 2630 step breakdown; ms per step, median over the timed steps
# gpu: ============================ ROCm System Management Interface ============================ | ============================== Version of System Component =============================== | Driver version: 6.16.13 | ========================================================================================== | ====================================== Product Info ====================================== | GPU[0]		: Card Series: 		AMD Instinct MI300X VF | GPU[0]		: Card Model: 		0x74b5 | GPU[0]		: Card Vendor: 		Advanced Micro Devices, Inc. [AMD/ATI] | GPU[0]		: Card SKU: 		M3000108 | GPU[0]		: Subsystem ID: 	0x74a1 | GPU[0]		: Device Rev: 		0x00 | GPU[0]		: Node ID: 		1 | GPU[0]		: GUID: 		46235 | GPU[0]		: GFX Version: 		gfx942 | ========================================================================================== | ================================== End of ROCm SMI Log ===================================
# host: model name	: Intel(R) Xeon(R) Platinum 8462Y+ | nproc=2 | 6.8.0-124-generic
corpus	kind	component	parent	depth	ms_per_step_median	share_of_envelope	lines_per_step	launches_per_step	syncs_per_step	note
enwik8	lean	lean.timers_build_switch_off			687.432	0.9892				steady median, timers build, switch off
enwik8	lean	lean.timers_build_switch_on_wall			695.307	1.0006				median wall of the timed steps (not a price)
enwik8	lean	lean.shipped_build_again								shipped build rerun last (pod drift)
enwik8	lean	overhead.compiled_in_switch_off			-0.538	-0.0008				timers build switch off minus shipped
enwik8	lean	overhead.switch_on			7.337	0.0106				switch-on wall minus shipped
enwik8	envelope	envelope.native_call		0	694.911	1.0000				median of 3 timed steps: 694.911, 688.004, 695.421
pilegithub	parent	envelope.native_call		0	698.403	1.0000	1			
pilegithub	leaf	step.bind_scalar_admission	envelope.native_call	1	0.006	0.0000	1			
pilegithub	leaf	step.upload_inputs	envelope.native_call	1	0.164	0.0002	1			
pilegithub	leaf	step.unpack_weights	envelope.native_call	1	0.734	0.0011	1			
pilegithub	leaf	step.embedding_forward	envelope.native_call	1	0.065	0.0001	1			
pilegithub	parent	envelope.blocks_forward	envelope.native_call	1	172.409	0.2469	1			
pilegithub	parent	block.norm1	envelope.blocks_forward	2	4.757	0.0068	12			
pilegithub	leaf	fwd.refuse_call	block.norm1	3	0.887	0.0013	12	24.0	24.0	
pilegithub	leaf	fwd.norm1	block.norm1	3	3.783	0.0054	12	12.0	0.0	
pilegithub	remainder	remainder:block.norm1	block.norm1	3	0.080	0.0001				parent minus its children per step, then the median
pilegithub	parent	block.attention_total	envelope.blocks_forward	2	70.945	0.1016	12			
pilegithub	parent	attn.qkv_proj	block.attention_total	3	32.184	0.0461	12			
pilegithub	leaf	fwd.q_proj	attn.qkv_proj	4	10.688	0.0153	12	12.0	0.0	
pilegithub	leaf	fwd.k_proj	attn.qkv_proj	4	10.600	0.0152	12	12.0	0.0	
pilegithub	leaf	fwd.v_proj	attn.qkv_proj	4	10.709	0.0153	12	12.0	0.0	
pilegithub	remainder	remainder:attn.qkv_proj	attn.qkv_proj	4	0.196	0.0003				parent minus its children per step, then the median
pilegithub	leaf	attn.rope_and_cache	block.attention_total	3	0.768	0.0011	12			
pilegithub	parent	attn.core	block.attention_total	3	27.264	0.0390	12			
pilegithub	leaf	attn.fwd_corner_flag	attn.core	4	0.506	0.0007	12			
pilegithub	leaf	attn.fwd_r2_keep_kernel	attn.core	4	24.611	0.0352	12			
pilegithub	leaf	attn.fwd_regime_scan	attn.core	4	2.014	0.0029	12			
pilegithub	remainder	remainder:attn.core	attn.core	4	0.155	0.0002				parent minus its children per step, then the median
pilegithub	parent	attn.o_proj	block.attention_total	3	10.644	0.0152	12			
pilegithub	leaf	fwd.o_proj	attn.o_proj	4	10.559	0.0151	12	12.0	0.0	
pilegithub	remainder	remainder:attn.o_proj	attn.o_proj	4	0.085	0.0001				parent minus its children per step, then the median
pilegithub	remainder	remainder:block.attention_total	block.attention_total	3	0.030	0.0000				parent minus its children per step, then the median
pilegithub	parent	block.mlp_and_residuals	envelope.blocks_forward	2	96.714	0.1385	12			
pilegithub	leaf	fwd.residual1_add	block.mlp_and_residuals	3	0.235	0.0003	12	12.0	0.0	
pilegithub	leaf	fwd.norm2	block.mlp_and_residuals	3	3.638	0.0052	12	12.0	0.0	
pilegithub	leaf	fwd.gate_proj	block.mlp_and_residuals	3	30.938	0.0443	12	0.0	0.0	
pilegithub	leaf	fwd.up_proj	block.mlp_and_residuals	3	31.261	0.0448	12	0.0	0.0	
pilegithub	leaf	fwd.silu	block.mlp_and_residuals	3	0.377	0.0005	12	12.0	0.0	
pilegithub	leaf	fwd.gate_mul	block.mlp_and_residuals	3	0.362	0.0005	12	12.0	0.0	
pilegithub	leaf	fwd.down_proj	block.mlp_and_residuals	3	29.192	0.0418	12	12.0	0.0	
pilegithub	leaf	fwd.residual2_add	block.mlp_and_residuals	3	0.235	0.0003	12	12.0	0.0	
pilegithub	remainder	remainder:block.mlp_and_residuals	block.mlp_and_residuals	3	0.382	0.0005				parent minus its children per step, then the median
pilegithub	remainder	remainder:envelope.blocks_forward	envelope.blocks_forward	2	0.030	0.0000				parent minus its children per step, then the median
pilegithub	leaf	step.head_forward	envelope.native_call	1	57.000	0.0816	1			
pilegithub	leaf	step.ce_refuse_scan	envelope.native_call	1	0.427	0.0006	1			
pilegithub	leaf	step.ce_forward	envelope.native_call	1	1.487	0.0021	1			
pilegithub	leaf	step.loss_download	envelope.native_call	1	0.036	0.0001	1			
pilegithub	leaf	step.ce_backward	envelope.native_call	1	0.757	0.0011	1			
pilegithub	leaf	step.head_backward_da	envelope.native_call	1	56.796	0.0813	1			
pilegithub	leaf	step.head_backward_db	envelope.native_call	1	59.143	0.0847	1			
pilegithub	parent	envelope.blocks_backward	envelope.native_call	1	335.699	0.4807	1			
pilegithub	parent	bwd.mlp_through_oproj	envelope.blocks_backward	2	202.179	0.2895	12	252.0	24.0	
pilegithub	leaf	grad.refuse_scan	bwd.mlp_through_oproj	3	0.508	0.0007	12	12.0	12.0	
pilegithub	leaf	grad.residual2_copy	bwd.mlp_through_oproj	3	0.326	0.0005	12	24.0	0.0	
pilegithub	leaf	grad.down_dA	bwd.mlp_through_oproj	3	31.044	0.0444	12	0.0	0.0	
pilegithub	leaf	grad.down_dB	bwd.mlp_through_oproj	3	28.955	0.0415	12	12.0	0.0	
pilegithub	leaf	grad.gate_mul	bwd.mlp_through_oproj	3	0.600	0.0009	12	24.0	0.0	
pilegithub	leaf	grad.silu	bwd.mlp_through_oproj	3	0.424	0.0006	12	12.0	0.0	
pilegithub	leaf	grad.gate_dB	bwd.mlp_through_oproj	3	28.791	0.0412	12	12.0	0.0	
pilegithub	leaf	grad.up_dB	bwd.mlp_through_oproj	3	28.700	0.0411	12	12.0	0.0	
pilegithub	leaf	grad.gate_dA	bwd.mlp_through_oproj	3	28.870	0.0413	12	12.0	0.0	
pilegithub	leaf	grad.up_dA	bwd.mlp_through_oproj	3	28.881	0.0414	12	12.0	0.0	
pilegithub	leaf	grad.gateup_fanin	bwd.mlp_through_oproj	3	0.241	0.0003	12	12.0	0.0	
pilegithub	leaf	grad.norm2_kernels	bwd.mlp_through_oproj	3	1.823	0.0026	12	36.0	0.0	
pilegithub	leaf	grad.norm2_dW	bwd.mlp_through_oproj	3	0.871	0.0012	12	24.0	12.0	
pilegithub	leaf	grad.residual1_add	bwd.mlp_through_oproj	3	0.227	0.0003	12	12.0	0.0	
pilegithub	leaf	grad.o_copy	bwd.mlp_through_oproj	3	0.225	0.0003	12	12.0	0.0	
pilegithub	leaf	grad.o_dA	bwd.mlp_through_oproj	3	10.557	0.0151	12	12.0	0.0	
pilegithub	leaf	grad.o_dB	bwd.mlp_through_oproj	3	10.275	0.0147	12	12.0	0.0	
pilegithub	remainder	remainder:bwd.mlp_through_oproj	bwd.mlp_through_oproj	3	0.801	0.0011				parent minus its children per step, then the median
pilegithub	leaf	bwd.before_attention	envelope.blocks_backward	2	0.007	0.0000	12			
pilegithub	parent	bwd.attention	envelope.blocks_backward	2	65.387	0.0936	12			
pilegithub	leaf	attn.bwd_corner_flag	bwd.attention	3	0.677	0.0010	12			
pilegithub	leaf	attn.bwd_dq_tiled_pf	bwd.attention	3	27.512	0.0394	12			
pilegithub	leaf	attn.bwd_kvgrid_dkdv_pf	bwd.attention	3	21.403	0.0306	12			
pilegithub	leaf	attn.bwd_regime_scan	bwd.attention	3	2.607	0.0037	12			
pilegithub	leaf	attn.bwd_scratch_alloc	bwd.attention	3	0.203	0.0003	12			
pilegithub	leaf	attn.bwd_zdot_estash_dres_pf	bwd.attention	3	12.845	0.0184	12			
pilegithub	remainder	remainder:bwd.attention	bwd.attention	3	0.152	0.0002				parent minus its children per step, then the median
pilegithub	parent	bwd.after_attention	envelope.blocks_backward	2	68.052	0.0974	12			
pilegithub	leaf	grad.kv_slice	bwd.after_attention	3	0.374	0.0005	12	24.0	0.0	
pilegithub	leaf	grad.rope	bwd.after_attention	3	0.411	0.0006	12	24.0	0.0	
pilegithub	leaf	grad.q_dB	bwd.after_attention	3	10.597	0.0152	12	12.0	0.0	
pilegithub	leaf	grad.k_dB	bwd.after_attention	3	10.222	0.0146	12	12.0	0.0	
pilegithub	leaf	grad.v_dB	bwd.after_attention	3	10.383	0.0149	12	12.0	0.0	
pilegithub	leaf	grad.q_dA	bwd.after_attention	3	10.754	0.0154	12	12.0	0.0	
pilegithub	leaf	grad.k_dA	bwd.after_attention	3	10.753	0.0154	12	12.0	0.0	
pilegithub	leaf	grad.v_dA	bwd.after_attention	3	10.747	0.0154	12	12.0	0.0	
pilegithub	leaf	grad.qkv_fanin	bwd.after_attention	3	0.243	0.0003	12	12.0	0.0	
pilegithub	leaf	grad.norm1_kernels	bwd.after_attention	3	1.843	0.0026	12	36.0	0.0	
pilegithub	leaf	grad.norm1_dW	bwd.after_attention	3	0.879	0.0013	12	24.0	12.0	
pilegithub	leaf	grad.x_add	bwd.after_attention	3	0.231	0.0003	12	12.0	0.0	
pilegithub	remainder	remainder:bwd.after_attention	bwd.after_attention	3	0.585	0.0008				parent minus its children per step, then the median
pilegithub	remainder	remainder:envelope.blocks_backward	envelope.blocks_backward	2	0.073	0.0001				parent minus its children per step, then the median
pilegithub	leaf	step.embedding_backward	envelope.native_call	1	7.729	0.0111	1			
pilegithub	leaf	step.pack_grads	envelope.native_call	1	0.696	0.0010	1			
pilegithub	leaf	step.validate_grads_scan	envelope.native_call	1	0.579	0.0008	1			
pilegithub	leaf	step.optimizer	envelope.native_call	1	1.670	0.0024	1			
pilegithub	leaf	step.validate_after_scan	envelope.native_call	1	2.561	0.0037	1			
pilegithub	leaf	step.bind_final_sync	envelope.native_call	1	0.001	0.0000	1			
pilegithub	leaf	step.bind_publish	envelope.native_call	1	0.009	0.0000	1			
pilegithub	remainder	remainder:envelope.native_call	envelope.native_call	1	0.213	0.0003				parent minus its children per step, then the median
pilegithub	category	gemm (every GEMM call, head and RMSNorm weight gradients included)	envelope.native_call	1	568.275	0.8137				leaves summed per step, then the median
pilegithub	category	attention kernels (fused launchers, regime scans, corner flags)	envelope.native_call	1	92.351	0.1322				leaves summed per step, then the median
pilegithub	category	embedding forward and backward	envelope.native_call	1	7.794	0.0112				leaves summed per step, then the median
pilegithub	category	rmsnorm forward	envelope.native_call	1	7.427	0.0106				leaves summed per step, then the median
pilegithub	category	refusal and validation scans	envelope.native_call	1	4.957	0.0071				leaves summed per step, then the median
pilegithub	category	rmsnorm backward kernels (weight gradient GEMM under gemm)	envelope.native_call	1	3.666	0.0052				leaves summed per step, then the median
pilegithub	category	remainders (timer prints, host work between ticks, untimed code)	envelope.native_call	1	2.784	0.0040				leaves summed per step, then the median
pilegithub	category	logits softmax and cross entropy, forward and backward, loss readback	envelope.native_call	1	2.278	0.0033				leaves summed per step, then the median
pilegithub	category	residual adds, copies and fan-in adds	envelope.native_call	1	1.971	0.0028				leaves summed per step, then the median
pilegithub	category	adamw update and its shadow copy	envelope.native_call	1	1.670	0.0024				leaves summed per step, then the median
pilegithub	category	ids upload, weight unpack and gradient pack copies	envelope.native_call	1	1.595	0.0023				leaves summed per step, then the median
pilegithub	category	attention rope and kv cache	envelope.native_call	1	1.562	0.0022				leaves summed per step, then the median
pilegithub	category	swiglu activation backward (gate product, silu)	envelope.native_call	1	1.025	0.0015				leaves summed per step, then the median
pilegithub	category	swiglu activation forward (silu, gate product)	envelope.native_call	1	0.739	0.0011				leaves summed per step, then the median
pilegithub	category	binding admission, final wait and publish	envelope.native_call	1	0.016	0.0000				leaves summed per step, then the median
pilegithub	gemm	gemm.down_dA	(cross-cut)		31.044	0.0444	12	0.0	0.0	calls per step = lines_per_step; ms per call 2.587
pilegithub	gemm	gemm.down_dB	(cross-cut)		28.955	0.0415	12	12.0	0.0	calls per step = lines_per_step; ms per call 2.413
pilegithub	gemm	gemm.down_fwd	(cross-cut)		29.192	0.0418	12	12.0	0.0	calls per step = lines_per_step; ms per call 2.433
pilegithub	gemm	gemm.gateup_dA	(cross-cut)		57.707	0.0826	24	24.0	0.0	calls per step = lines_per_step; ms per call 2.404
pilegithub	gemm	gemm.gateup_dB	(cross-cut)		57.472	0.0823	24	24.0	0.0	calls per step = lines_per_step; ms per call 2.395
pilegithub	gemm	gemm.gateup_fwd	(cross-cut)		62.234	0.0891	24	0.0	0.0	calls per step = lines_per_step; ms per call 2.593
pilegithub	gemm	gemm.head_dA	(cross-cut)		56.787	0.0813	1	1.0	0.0	calls per step = lines_per_step; ms per call 56.787
pilegithub	gemm	gemm.head_dB	(cross-cut)		59.138	0.0847	1	0.0	0.0	calls per step = lines_per_step; ms per call 59.138
pilegithub	gemm	gemm.head_fwd	(cross-cut)		56.994	0.0816	1	0.0	0.0	calls per step = lines_per_step; ms per call 56.994
pilegithub	gemm	gemm.norm_dW	(cross-cut)		1.750	0.0025	24	48.0	24.0	calls per step = lines_per_step; ms per call 0.073
