"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e",48,1386523,28885.895833,0.1398,27303,31071,669.958406
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e",48,1257384,26195.500000,0.1267,25057,27262,533.350789
"training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752",8,1197366,149670.750000,0.1207,149059,151024,602.686308
"training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6",2,1142561,571280.500000,0.1152,569737,572824,2182.838634
"embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543",2,1122154,561077.000000,0.1131,550573,571581,14854.899259
"transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f",24,978708,40779.500000,0.0987,39129,41976,676.104057
"transformer_checks_transformer6A6A6A6A_e0aadbba61216e38",24,946718,39446.583333,0.0954,38288,41535,662.914049
"training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214",24,845685,35236.875000,0.0852,31111,50555,4938.321510
"training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304",24,764422,31850.916667,0.0771,31151,33075,449.521767
"transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0",24,711377,29640.708333,0.0717,28465,30870,479.416446
"transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0",24,687965,28665.208333,0.0693,26180,29708,806.915705
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469",50,212160,4243.200000,0.0214,4009,4972,152.526612
"embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb",2,170068,85034.000000,0.0171,84072,85996,1360.473447
"embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0",2,162489,81244.500000,0.0164,81024,81465,311.834091
"embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf",2,51959,25979.500000,5.238e-03,23494,28465,3515.027809
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0",2,22251,11125.500000,2.243e-03,10945,11306,255.265548
"training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc",2,9381,4690.500000,9.456e-04,4610,4771,113.844192
"training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0",2,9181,4590.500000,9.255e-04,4571,4610,27.577164
"training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3",2,9181,4590.500000,9.255e-04,4530,4651,85.559921
"training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8",2,7778,3889.000000,7.840e-04,3849,3929,56.568542
"transformer_impl_llama_modeli6A6A6A6A6A6A_fd7a940bfe0354a7",1,4090,4090.000000,4.123e-04,4090,4090,0.00000000e+00
