| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | arm64            |
| par-dbscan/denormal          | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 3a6472714f51d8ab |
| par-dbscan/denormal          | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | af8f5b102930fc66 |
| par-dbscan/denormal          | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | a8e67882b424a053 |
| par-dbscan/dupes             | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | e6e720fcb54b180e |
| par-dbscan/dupes             | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | c36812c6260e7ee6 |
| par-dbscan/dupes             | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | f7e7d24690d3107e |
| par-dbscan/ties              | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 63990f64c63d296b |
| par-dbscan/ties              | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 7c766eb707695149 |
| par-dbscan/ties              | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | be9e40c554329827 |
| par-graph-agglomerative/base | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 3a6472714f51d8ab |
| par-graph-agglomerative/base | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 9bb9f86300c44f5f |
| par-graph-agglomerative/base | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | a8e67882b424a053 |
| par-graph-agglomerative/denormal | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 2b2d3f329eec69f7 |
| par-graph-agglomerative/denormal | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 0749a7721feb2709 |
| par-graph-agglomerative/denormal | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | a2740d2ed4d74812 |
| par-graph-agglomerative/dupes | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 3a6472714f51d8ab |
| par-graph-agglomerative/dupes | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 9bb9f86300c44f5f |
| par-graph-agglomerative/dupes | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | a8e67882b424a053 |
| par-graph-agglomerative/ties | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | d161892b4ef55128 |
| par-graph-agglomerative/ties | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 64a8cd1101ec17ba |
| par-graph-agglomerative/ties | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | a8e67882b424a053 |

summary (infer/model): ONE-COLUMN=48
summary (batch): ONE-COLUMN=24
summary (rlpair): 
