NOTE: --lanes scopes this diff to 5 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_linalg_host', '_mojolearn_svm_host'] commit=0882d7a25d6fbdd8845418c4b4025e5bca76b651
| lane/fixture                 | verdict    | arm64            | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|
| svr/base                     | model  | IDENTICAL x2 | e28c2681321f99df | e28c2681321f99df |
| svr/base                     | batch  | IDENTICAL x2 | ad4096a1ae4cc4d7 | ad4096a1ae4cc4d7 |
| svr/denormal                 | infer  | IDENTICAL x2 | 13643cd05c4a641d | 13643cd05c4a641d |
| svr/denormal                 | model  | IDENTICAL x2 | 08b0cf218897d8e3 | 08b0cf218897d8e3 |
| svr/denormal                 | batch  | IDENTICAL x2 | e4e4083511a0e155 | e4e4083511a0e155 |
| svr/denormal_ftz             | infer  | IDENTICAL x2 | 13643cd05c4a641d | 13643cd05c4a641d |
| svr/denormal_ftz             | model  | IDENTICAL x2 | d85762954c84445a | d85762954c84445a |
| svr/denormal_ftz             | batch  | IDENTICAL x2 | e4e4083511a0e155 | e4e4083511a0e155 |
| svr/dupes                    | infer  | IDENTICAL x2 | 2d84831c33ef58e0 | 2d84831c33ef58e0 |
| svr/dupes                    | model  | IDENTICAL x2 | 73d9170287e81a7d | 73d9170287e81a7d |
| svr/dupes                    | batch  | IDENTICAL x2 | 172b3f38f86ea64a | 172b3f38f86ea64a |
| svr/hashed                   | infer  | IDENTICAL x2 | 6ea59f77ab4b672a | 6ea59f77ab4b672a |
| svr/hashed                   | model  | IDENTICAL x2 | b8882cb69c8e01b2 | b8882cb69c8e01b2 |
| svr/hashed                   | batch  | IDENTICAL x2 | 508e60b4ef6eed4c | 508e60b4ef6eed4c |
| svr/negative                 | infer  | IDENTICAL x2 | 9815b80b4546e3a3 | 9815b80b4546e3a3 |
| svr/negative                 | model  | IDENTICAL x2 | 06c9310b80362f99 | 06c9310b80362f99 |
| svr/negative                 | batch  | IDENTICAL x2 | 903978a7a15fdc7a | 903978a7a15fdc7a |
| svr/odd                      | infer  | IDENTICAL x2 | 7a2173bef2f1dcbe | 7a2173bef2f1dcbe |
| svr/odd                      | model  | IDENTICAL x2 | 23cbc4642d1cc522 | 23cbc4642d1cc522 |
| svr/odd                      | batch  | IDENTICAL x2 | ad054e11a184f1bf | ad054e11a184f1bf |
