NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_mamba_host'] commit=df617c6997cdf9f794c073c2d027dc68c9b1191f
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| mamba2/denormal              | infer  | IDENTICAL x4 | 715e3b3d9ee219ba | 715e3b3d9ee219ba | 715e3b3d9ee219ba | 715e3b3d9ee219ba |
| mamba2/denormal              | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/denormal              | batch  | IDENTICAL x4 | ce1a26dfa4587c15 | ce1a26dfa4587c15 | ce1a26dfa4587c15 | ce1a26dfa4587c15 |
| mamba2/denormal_ftz          | infer  | IDENTICAL x4 | 715e3b3d9ee219ba | 715e3b3d9ee219ba | 715e3b3d9ee219ba | 715e3b3d9ee219ba |
| mamba2/denormal_ftz          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/denormal_ftz          | batch  | IDENTICAL x4 | ce1a26dfa4587c15 | ce1a26dfa4587c15 | ce1a26dfa4587c15 | ce1a26dfa4587c15 |
| mamba2/dupes                 | infer  | IDENTICAL x4 | bc19a007224d9860 | bc19a007224d9860 | bc19a007224d9860 | bc19a007224d9860 |
| mamba2/dupes                 | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/dupes                 | batch  | IDENTICAL x4 | 82b6615b36847109 | 82b6615b36847109 | 82b6615b36847109 | 82b6615b36847109 |
| mamba2/hashed                | infer  | IDENTICAL x4 | fa5cdfa7a8028ea4 | fa5cdfa7a8028ea4 | fa5cdfa7a8028ea4 | fa5cdfa7a8028ea4 |
| mamba2/hashed                | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/hashed                | batch  | IDENTICAL x4 | a824974d95e976a1 | a824974d95e976a1 | a824974d95e976a1 | a824974d95e976a1 |
| mamba2/negative              | infer  | IDENTICAL x4 | e47047c1022164fb | e47047c1022164fb | e47047c1022164fb | e47047c1022164fb |
| mamba2/negative              | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/negative              | batch  | IDENTICAL x4 | 5e4dc2619d55149f | 5e4dc2619d55149f | 5e4dc2619d55149f | 5e4dc2619d55149f |
| mamba2/odd                   | infer  | IDENTICAL x4 | b0084ee171c0720f | b0084ee171c0720f | b0084ee171c0720f | b0084ee171c0720f |
| mamba2/odd                   | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/odd                   | batch  | IDENTICAL x4 | d21a83ab6b3ce297 | d21a83ab6b3ce297 | d21a83ab6b3ce297 | d21a83ab6b3ce297 |
| mamba2/ties                  | infer  | IDENTICAL x4 | bbd1634ec2e78ddf | bbd1634ec2e78ddf | bbd1634ec2e78ddf | bbd1634ec2e78ddf |
| mamba2/ties                  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/ties                  | batch  | IDENTICAL x4 | 4b2801f8f573c8c8 | 4b2801f8f573c8c8 | 4b2801f8f573c8c8 | 4b2801f8f573c8c8 |
| mamba2/wide                  | infer  | IDENTICAL x4 | b67647742c88aaf1 | b67647742c88aaf1 | b67647742c88aaf1 | b67647742c88aaf1 |
