NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_tsa_host'] commit=420a8ec73dee02ee6dde284ee37b7eaa785960ce
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| kpss/hashed                  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/hashed                  | batch  | IDENTICAL x4 | 41604ef54f7db2ab | 41604ef54f7db2ab | 41604ef54f7db2ab | 41604ef54f7db2ab |
| kpss/negative                | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| kpss/negative                | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/negative                | batch  | IDENTICAL x4 | 4c2bc40bf5f1e37d | 4c2bc40bf5f1e37d | 4c2bc40bf5f1e37d | 4c2bc40bf5f1e37d |
| kpss/odd                     | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| kpss/odd                     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/odd                     | batch  | IDENTICAL x4 | a4ea6b1ced22e034 | a4ea6b1ced22e034 | a4ea6b1ced22e034 | a4ea6b1ced22e034 |
| kpss/ties                    | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| kpss/ties                    | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/ties                    | batch  | IDENTICAL x4 | 01b57441a0e5e751 | 01b57441a0e5e751 | 01b57441a0e5e751 | 01b57441a0e5e751 |
| kpss/wide                    | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| kpss/wide                    | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/wide                    | batch  | IDENTICAL x4 | c50376063c1008ed | c50376063c1008ed | c50376063c1008ed | c50376063c1008ed |
| par-holtwinters/base         | infer  | IDENTICAL x4 | 649ba9e2deb0116b | 649ba9e2deb0116b | 649ba9e2deb0116b | 649ba9e2deb0116b |
| par-holtwinters/base         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/base         | batch  | IDENTICAL x4 | 232d55481f01f239 | 232d55481f01f239 | 232d55481f01f239 | 232d55481f01f239 |
| par-holtwinters/denormal     | infer  | IDENTICAL x4 | ae5d01a90ca7a3a0 | ae5d01a90ca7a3a0 | ae5d01a90ca7a3a0 | ae5d01a90ca7a3a0 |
| par-holtwinters/denormal     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/denormal     | batch  | IDENTICAL x4 | 61ee91ed7913e382 | 61ee91ed7913e382 | 61ee91ed7913e382 | 61ee91ed7913e382 |
| par-holtwinters/denormal_ftz | infer  | IDENTICAL x4 | ae5d01a90ca7a3a0 | ae5d01a90ca7a3a0 | ae5d01a90ca7a3a0 | ae5d01a90ca7a3a0 |
| par-holtwinters/denormal_ftz | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/denormal_ftz | batch  | IDENTICAL x4 | 61ee91ed7913e382 | 61ee91ed7913e382 | 61ee91ed7913e382 | 61ee91ed7913e382 |
| par-holtwinters/dupes        | infer  | IDENTICAL x4 | 649ba9e2deb0116b | 649ba9e2deb0116b | 649ba9e2deb0116b | 649ba9e2deb0116b |
| par-holtwinters/dupes        | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/dupes        | batch  | IDENTICAL x4 | 232d55481f01f239 | 232d55481f01f239 | 232d55481f01f239 | 232d55481f01f239 |
| par-holtwinters/hashed       | infer  | IDENTICAL x4 | 87e9ebb626a4a6aa | 87e9ebb626a4a6aa | 87e9ebb626a4a6aa | 87e9ebb626a4a6aa |
| par-holtwinters/hashed       | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/hashed       | batch  | IDENTICAL x4 | f5419cbf7bf23ec0 | f5419cbf7bf23ec0 | f5419cbf7bf23ec0 | f5419cbf7bf23ec0 |
| par-holtwinters/negative     | infer  | IDENTICAL x4 | 8b0aed3120b09339 | 8b0aed3120b09339 | 8b0aed3120b09339 | 8b0aed3120b09339 |
| par-holtwinters/negative     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/negative     | batch  | IDENTICAL x4 | 513abc3b48ebb80c | 513abc3b48ebb80c | 513abc3b48ebb80c | 513abc3b48ebb80c |
| par-holtwinters/odd          | infer  | IDENTICAL x4 | a3554de5fcae28c3 | a3554de5fcae28c3 | a3554de5fcae28c3 | a3554de5fcae28c3 |
| par-holtwinters/odd          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/odd          | batch  | IDENTICAL x4 | 65da76de08e2f1f4 | 65da76de08e2f1f4 | 65da76de08e2f1f4 | 65da76de08e2f1f4 |
| par-holtwinters/ties         | infer  | IDENTICAL x4 | 6174df6113828371 | 6174df6113828371 | 6174df6113828371 | 6174df6113828371 |
| par-holtwinters/ties         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/ties         | batch  | IDENTICAL x4 | f061dca8388dc5d3 | f061dca8388dc5d3 | f061dca8388dc5d3 | f061dca8388dc5d3 |
| par-holtwinters/wide         | infer  | IDENTICAL x4 | 600b74954f7ec426 | 600b74954f7ec426 | 600b74954f7ec426 | 600b74954f7ec426 |
| par-holtwinters/wide         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-holtwinters/wide         | batch  | IDENTICAL x4 | f035af87f7c31bfd | f035af87f7c31bfd | f035af87f7c31bfd | f035af87f7c31bfd |

summary (infer/model): IDENTICAL=27, N/A=45
summary (batch): IDENTICAL=36
summary (rlpair): 
require-columns 4 over ['holtwinters', 'holtwinters-multiplicative', 'kpss', 'par-holtwinters']: OK (0 OWED)
summary (owed): OWED=0; the next release record owes exactly these cell parts; wrote /root/leg_out/owed_cells.json
