EXPECTED FAIL: loss
EXPECTED FAIL: gradients
EXPECTED FAIL: parameters
EXPECTED FAIL: m
EXPECTED FAIL: v
EXPECTED FAIL: flags
EXPECTED FAIL: same legacy arm
EXPECTED FAIL: same guarded arm
MATCH step 452 loss 4.202903747558594
MATCH step 453 loss 3.2975211143493652
MATCH step 454 loss 4.05113410949707
MATCH step 455 loss 3.6270673274993896
MATCH step 456 loss 4.05764102935791
MATCH step 457 loss 3.3033740520477295
MATCH step 458 loss 3.557833671569824
MATCH step 459 loss 3.193925380706787
MATCH step 460 loss 3.432765007019043
MATCH step 461 loss 2.8058414459228516
MATCH step 462 loss 2.9975523948669434
MATCH step 463 loss 2.990926742553711
MATCH step 464 loss 3.140385389328003
MATCH step 465 loss 2.559818744659424
MATCH step 466 loss 2.9305310249328613
MATCH step 467 loss 2.6689810752868652
MATCH step 468 loss 2.610502243041992
MATCH step 469 loss 2.3886518478393555
MATCH step 470 loss 2.7956221103668213
MATCH step 471 loss 3.443472146987915
MATCH step 472 loss 4.056487560272217
MATCH step 473 loss 4.229588031768799
MATCH step 474 loss 3.625354051589966
MATCH step 475 loss 3.157806873321533
MATCH step 476 loss 3.237372875213623
MATCH step 477 loss 3.071073532104492
MATCH step 478 loss 2.871767997741699
MATCH step 479 loss 3.1658411026000977
MATCH step 480 loss 3.2365543842315674
MATCH step 481 loss 2.713406801223755
MATCH step 482 loss 3.01181697845459
MATCH step 483 loss 2.536294937133789
MATCH step 484 loss 2.448615789413452
MATCH step 485 loss 2.2690072059631348
MATCH step 486 loss 3.0440077781677246
MATCH step 487 loss 3.5019912719726562
MATCH step 488 loss 2.7935073375701904
MATCH step 489 loss 2.6493144035339355
MATCH step 490 loss 2.467254161834717
MATCH step 491 loss 2.279783248901367
MATCH step 492 loss 2.298153877258301
MATCH step 493 loss 2.301854133605957
MATCH step 494 loss 2.217951536178589
MATCH step 495 loss 2.2618024349212646
MATCH step 496 loss 2.1292026042938232
MATCH step 497 loss 2.2661936283111572
MATCH step 498 loss 2.1135830879211426
MATCH step 499 loss 3.33678936958313
MATCH step 500 loss 3.649120330810547
MATCH step 501 loss 2.7976958751678467
MATCH step 502 loss 2.499946117401123
MATCH step 503 loss 2.6185672283172607
MATCH step 504 loss 2.2872118949890137
MATCH step 505 loss 2.650442600250244
MATCH step 506 loss 2.923797607421875
MATCH step 507 loss 2.5156795978546143
MATCH step 508 loss 2.390209674835205
MATCH step 509 loss 2.3472259044647217
MATCH step 510 loss 2.0853450298309326
MATCH step 511 loss 2.093385934829712
MATCH step 512 loss 1.930711269378662
MATCH step 513 loss 2.0211563110351562
MATCH step 514 loss 2.0860533714294434
MATCH step 515 loss 1.9282159805297852
MATCH step 516 loss 2.053741455078125
MATCH step 517 loss 1.962462306022644
MATCH step 518 loss 1.9459125995635986
MATCH step 519 loss 1.9717388153076172
MATCH step 520 loss 2.0263559818267822
MATCH step 521 loss 1.6592851877212524
MATCH step 522 loss 2.2328639030456543
MATCH step 523 loss 2.256899833679199
MATCH step 524 loss 1.9183968305587769
MATCH step 525 loss 3.1119136810302734
MATCH step 526 loss 3.432260751724243
MATCH step 527 loss 3.3752684593200684
MATCH step 528 loss 2.4500536918640137
MATCH step 529 loss 2.8798627853393555
MATCH step 530 loss 2.5968689918518066
MATCH step 531 loss 2.3316543102264404
MATCH step 532 loss 2.0920217037200928
MATCH step 533 loss 2.0231499671936035
MATCH step 534 loss 2.543348550796509
MATCH step 535 loss 2.8688974380493164
MATCH step 536 loss 3.3625450134277344
MATCH step 537 loss 2.3635616302490234
MATCH step 538 loss 2.1894798278808594
MATCH step 539 loss 2.8102216720581055
MATCH step 540 loss 3.380509614944458
MATCH step 541 loss 3.8529224395751953
MATCH step 542 loss 3.1598410606384277
MATCH step 543 loss 3.1259446144104004
MATCH step 544 loss 2.930201530456543
MATCH step 545 loss 2.7185778617858887
MATCH step 546 loss 2.628237724304199
MATCH step 547 loss 2.8231041431427
MATCH step 548 loss 3.2803080081939697
MATCH step 549 loss 2.8330445289611816
MATCH step 550 loss 2.713820457458496
MATCH step 551 loss 3.231975793838501
MATCH step 552 loss 3.0176186561584473
MATCH step 553 loss 2.9778594970703125
MATCH step 554 loss 2.9823036193847656
MATCH step 555 loss 3.152348518371582
MATCH step 556 loss 3.413891553878784
MATCH step 557 loss 5.014086723327637
MATCH step 558 loss 4.6292572021484375
MATCH step 559 loss 3.6282167434692383
MATCH step 560 loss 3.3832550048828125
MATCH step 561 loss 3.0143141746520996
MATCH step 562 loss 3.5336718559265137
MATCH step 563 loss 2.998755931854248
MATCH step 564 loss 3.566373825073242
MATCH step 565 loss 3.2695930004119873
MATCH step 566 loss 3.8157737255096436
MATCH step 567 loss 3.2539424896240234
MATCH step 568 loss 2.7614543437957764
MATCH step 569 loss 2.6285085678100586
MATCH step 570 loss 3.6070027351379395
MATCH step 571 loss 2.654099941253662
MATCH step 572 loss 3.250511646270752
MATCH step 573 loss 2.5139763355255127
MATCH step 574 loss 2.383326530456543
MATCH step 575 loss 3.299252510070801
MATCH step 576 loss 3.414341449737549
MATCH step 577 loss 2.9420204162597656
MATCH step 578 loss 2.771559715270996
MATCH step 579 loss 2.695767402648926
MATCH step 580 loss 2.615764617919922
MATCH step 581 loss 2.4372611045837402
MATCH step 582 loss 3.076817035675049
MATCH step 583 loss 3.574824333190918
MATCH step 584 loss 3.0382120609283447
MATCH step 585 loss 3.165149688720703
MATCH step 586 loss 3.278870105743408
MATCH step 587 loss 2.7887277603149414
MATCH step 588 loss 2.8188343048095703
MATCH step 589 loss 2.878918170928955
MATCH step 590 loss 3.289191961288452
MATCH step 591 loss 2.8654685020446777
MATCH step 592 loss 3.263625144958496
MATCH step 593 loss 2.8980884552001953
MATCH step 594 loss 3.3046622276306152
MATCH step 595 loss 2.807155132293701
MATCH step 596 loss 2.823320150375366
MATCH step 597 loss 3.2946741580963135
MATCH step 598 loss 2.593763828277588
MATCH step 599 loss 2.5406694412231445
MATCH step 600 loss 3.031735897064209
MATCH step 601 loss 2.7872705459594727
MATCH step 602 loss 3.0474700927734375
MATCH step 603 loss 2.519378900527954
MATCH step 604 loss 2.7702701091766357
MATCH step 605 loss 2.624001979827881
MATCH step 606 loss 2.783921003341675
MATCH step 607 loss 3.5378780364990234
MATCH step 608 loss 3.676539897918701
MATCH step 609 loss 2.4148221015930176
MATCH step 610 loss 1.7244466543197632
