NOTE: --require-columns defaults to 2 (2026-09-20): every compared cell must rest on at least two real hashes, or it was not compared. Pass --require-columns 0 to turn the floor off, or a higher N to demand more.
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=51f93ced484d8e32e6e5f6f60f1fbe01ec207dd5
NOTE: column cpu-apple-m4 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
NOTE: column arm64 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
| lane/fixture                 | verdict    | cpu-apple-m4     | arm64            |
| embedding/denormal           | IDENTICAL x2 | 59595db92ff1929f | 59595db92ff1929f |
| embedding/odd                | IDENTICAL x2 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 |
| et-clf-entropy-bestfirst/base | IDENTICAL x2 | 6a5ef5ab78ae5228 | 6a5ef5ab78ae5228 |
| et-clf-entropy-bestfirst/denormal | IDENTICAL x2 | f0837d67f8dc07eb | f0837d67f8dc07eb |
| et-clf-entropy-bestfirst/odd | IDENTICAL x2 | 461aec12b620cdb4 | 461aec12b620cdb4 |
| et-clf/base                  | IDENTICAL x2 | c586b27a3b049614 | c586b27a3b049614 |
| et-clf/denormal              | IDENTICAL x2 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/odd                   | IDENTICAL x2 | 1da918353bb9f10e | 1da918353bb9f10e |
| et-reg-bootstrap-parallel/base | IDENTICAL x2 | 19364c9a090a07bf | 19364c9a090a07bf |
| et-reg-bootstrap-parallel/denormal | IDENTICAL x2 | 2db72056e0c1f349 | 2db72056e0c1f349 |
| et-reg-bootstrap-parallel/odd | IDENTICAL x2 | c7241fe5a82049b3 | c7241fe5a82049b3 |
| et-reg/base                  | IDENTICAL x2 | 754d8c127ecfc04d | 754d8c127ecfc04d |
| et-reg/denormal              | IDENTICAL x2 | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/odd                   | IDENTICAL x2 | c9fe7c90673c2661 | c9fe7c90673c2661 |
| gbdt-adapter-clf/base        | IDENTICAL x2 | 933184700a044eb2 | 933184700a044eb2 |
