Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,183935,2,91967.5,91967.5,91967,91968,0.7,embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb
0.0,167392,50,3347.8,3392.0,1888,4000,315.9,gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469
0.0,139969,2,69984.5,69984.5,69921,70048,89.8,embedding_checks_embedding_ide6A6A6A6A_5cfa05e12c6f7255
0.0,69920,2,34960.0,34960.0,34496,35424,656.2,embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf
0.0,12383,2,6191.5,6191.5,6047,6336,204.4,gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0
0.0,5088,2,2544.0,2544.0,2400,2688,203.6,training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3
0.0,3200,2,1600.0,1600.0,1376,1824,316.8,training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc
0.0,2688,2,1344.0,1344.0,1344,1344,0.0,training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8
0.0,2592,2,1296.0,1296.0,1280,1312,22.6,training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0
0.0,1792,1,1792.0,1792.0,1792,1792,0.0,transformer_impl_llama_modeli6A6A6A6A6A6A_fd7a940bfe0354a7
