NOTE: column cuda-4090 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
| lane/fixture                 | verdict    | cuda-4090        | cuda-4090        |
| knn-reg/base                 | IDENTICAL x2 | 33e7da5c3fdd343c | 33e7da5c3fdd343c |
| knn-reg/denormal             | IDENTICAL x2 | 4c84ea510c9509c5 | 4c84ea510c9509c5 |
| knn-reg/denormal_ftz         | IDENTICAL x2 | 4c84ea510c9509c5 | 4c84ea510c9509c5 |
| knn-reg/dupes                | IDENTICAL x2 | 3bb71dcd3b676bd6 | 3bb71dcd3b676bd6 |
| knn-reg/hashed               | IDENTICAL x2 | 81f9b8890b3f8185 | 81f9b8890b3f8185 |
| knn-reg/negative             | IDENTICAL x2 | b34860cd7e03c8fe | b34860cd7e03c8fe |
| knn-reg/odd                  | IDENTICAL x2 | 4fddd38927851559 | 4fddd38927851559 |
| knn-reg/ties                 | IDENTICAL x2 | 556283a80ad1e387 | 556283a80ad1e387 |
| knn-reg/wide                 | IDENTICAL x2 | 0d128580a2408383 | 0d128580a2408383 |
| knn/base                     | IDENTICAL x2 | 6869ae45e01fcb7a | 6869ae45e01fcb7a |
| knn/denormal                 | IDENTICAL x2 | c5404ea40ba502da | c5404ea40ba502da |
| knn/denormal_ftz             | IDENTICAL x2 | c5404ea40ba502da | c5404ea40ba502da |
| knn/dupes                    | IDENTICAL x2 | 55dffcfe5d6aa112 | 55dffcfe5d6aa112 |
| knn/hashed                   | IDENTICAL x2 | 96db6b5a57d4d248 | 96db6b5a57d4d248 |
| knn/negative                 | IDENTICAL x2 | b73513bc451075d0 | b73513bc451075d0 |
| knn/odd                      | IDENTICAL x2 | f4ddd08c4744ae8d | f4ddd08c4744ae8d |
| knn/ties                     | IDENTICAL x2 | 23daf3a923d4c74f | 23daf3a923d4c74f |
| knn/wide                     | IDENTICAL x2 | 3956d623d56e1786 | 3956d623d56e1786 |
| logistic/base                | IDENTICAL x2 | 5b1e42c308451935 | 5b1e42c308451935 |
| logistic/denormal            | IDENTICAL x2 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 |
| logistic/denormal_ftz        | IDENTICAL x2 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 |
| logistic/dupes               | IDENTICAL x2 | 8b3071b0cd8446b2 | 8b3071b0cd8446b2 |
