lane	dataset	shape	arm	status	median_ms	min_ms	max_ms	rounds	ratio_ours_over	quality	hash	hash_stable	fit	fit_verdict	span
rf	istella	istella-2043304x220	cuml-rf-gpu	ok	5894.7	5754.3	5992.9	5	0.382	auc=0.965239,logloss=0.14445	5fe72eea877cef41	True	trees=- leaves=- depth=- src=none	UNKNOWN	-
rf	istella	istella-2043304x220	lightgbm-cpu	REFUSED(GPU-PATH-ONLY: lightgbm-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare against)	None	None	None	0	None	-	-	None	UNAVAILABLE	UNKNOWN	-
rf	istella	istella-2043304x220	ours	ok	2249.5	2242.9	2258.9	5	None	auc=0.965173,logloss=0.144571	162227debfb7f71d	True	trees=100 leaves=1550974 depth=16 src=flat forest arrays	UNKNOWN	-
rf	istella	istella-2043304x220	sklearn-rf-cpu	REFUSED(GPU-PATH-ONLY: sklearn-rf-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare again)	None	None	None	0	None	-	-	None	UNAVAILABLE	UNKNOWN	-
et	taxi	taxi-4110786x16	cuml-et-gpu	REFUSED(RuntimeError: cuML has no ExtraTrees estimator: its RandomForest searches quantile splits, not the uniform-random thresh)	None	None	None	0	None	-	-	None	UNAVAILABLE	COMPARABLE	-
et	taxi	taxi-4110786x16	ours	ok	5975.0	5953.3	6039.5	5	None	auc=0.618907,logloss=0.526142	8570e6992c12452d	True	trees=100 leaves=881399 depth=16 src=flat forest arrays	COMPARABLE	-
et	taxi	taxi-4110786x16	sklearn-et-cpu	ok	21323.5	21209.4	21928.1	5	0.280	auc=0.619262,logloss=0.525951	fbede2c95b883374	False	trees=100 leaves=906974 depth=16 src=estimators_[i].tree_	COMPARABLE	-
et	istella	istella-2043304x220	cuml-et-gpu	REFUSED(RuntimeError: cuML has no ExtraTrees estimator: its RandomForest searches quantile splits, not the uniform-random thresh)	None	None	None	0	None	-	-	None	UNAVAILABLE	COMPARABLE	-
et	istella	istella-2043304x220	ours	ok	9290.9	9278.4	9352.7	5	None	auc=0.937987,logloss=0.189989	40a6bd5b6b694e15	True	trees=100 leaves=1029236 depth=16 src=flat forest arrays	COMPARABLE	-
et	istella	istella-2043304x220	sklearn-et-cpu	ok	35426.0	34998.3	35500.7	5	0.262	auc=0.937659,logloss=0.190177	3fd152673dbc57f9	False	trees=100 leaves=1006311 depth=16 src=estimators_[i].tree_	COMPARABLE	-
