NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_solver_host', '_mojolearn_trees_host'] commit=6796ceff932391adeaea8d788a6c5230ddfacf53
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | cpu-apple-m4     |
| byte-lm/negative             | IDENTICAL x3 | 2ac343da560e4d31 | 2ac343da560e4d31 | 2ac343da560e4d31 | (not run)        |
| byte-lm/odd                  | IDENTICAL x3 | f9a8d760f503f795 | f9a8d760f503f795 | f9a8d760f503f795 | (not run)        |
| byte-lm/ties                 | IDENTICAL x3 | b6939352795ff292 | b6939352795ff292 | b6939352795ff292 | (not run)        |
| byte-lm/wide                 | IDENTICAL x3 | f06570ace1982aab | f06570ace1982aab | f06570ace1982aab | (not run)        |
| dbscan/base                  | IDENTICAL x3 | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b | (not run)        |
| dbscan/denormal              | IDENTICAL x3 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | (not run)        |
| dbscan/denormal_ftz          | IDENTICAL x3 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | (not run)        |
| dbscan/dupes                 | IDENTICAL x3 | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b | (not run)        |
| dbscan/hashed                | IDENTICAL x3 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d | (not run)        |
| dbscan/negative              | IDENTICAL x3 | bb6bd31e075693e9 | bb6bd31e075693e9 | bb6bd31e075693e9 | (not run)        |
| dbscan/odd                   | IDENTICAL x3 | 54d129f45630ea84 | 54d129f45630ea84 | 54d129f45630ea84 | (not run)        |
| dbscan/ties                  | IDENTICAL x3 | b7535355c1581603 | b7535355c1581603 | b7535355c1581603 | (not run)        |
| dbscan/wide                  | IDENTICAL x3 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d | (not run)        |
| elasticnet/base              | IDENTICAL x3 | 2cf742083831ee9d | 2cf742083831ee9d | 2cf742083831ee9d | (not run)        |
| elasticnet/denormal          | IDENTICAL x3 | 3add60ff69fd788c | 3add60ff69fd788c | 3add60ff69fd788c | (not run)        |
| elasticnet/denormal_ftz      | IDENTICAL x3 | 3add60ff69fd788c | 3add60ff69fd788c | 3add60ff69fd788c | (not run)        |
| elasticnet/dupes             | IDENTICAL x3 | 97d4c8c235d38bfe | 97d4c8c235d38bfe | 97d4c8c235d38bfe | (not run)        |
| elasticnet/hashed            | IDENTICAL x3 | 00b6923d62a41c0a | 00b6923d62a41c0a | 00b6923d62a41c0a | (not run)        |
| elasticnet/negative          | IDENTICAL x3 | 7624315e7deffe10 | 7624315e7deffe10 | 7624315e7deffe10 | (not run)        |
| elasticnet/odd               | IDENTICAL x3 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 | (not run)        |
| elasticnet/ties              | IDENTICAL x3 | 118eac19578010ab | 118eac19578010ab | 118eac19578010ab | (not run)        |
| elasticnet/wide              | IDENTICAL x3 | ef8800eaf0ca4f87 | ef8800eaf0ca4f87 | ef8800eaf0ca4f87 | (not run)        |
| et-clf/base                  | IDENTICAL x4 | c586b27a3b049614 | c586b27a3b049614 | c586b27a3b049614 | c586b27a3b049614 |
| et-clf/denormal              | IDENTICAL x4 | b40377fb35e52909 | b40377fb35e52909 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/denormal_ftz          | IDENTICAL x4 | b40377fb35e52909 | b40377fb35e52909 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/dupes                 | IDENTICAL x4 | a24dcc8a93f699ff | a24dcc8a93f699ff | a24dcc8a93f699ff | a24dcc8a93f699ff |
| et-clf/hashed                | IDENTICAL x4 | eb7aaadcd0843a6d | eb7aaadcd0843a6d | eb7aaadcd0843a6d | eb7aaadcd0843a6d |
| et-clf/negative              | IDENTICAL x4 | e1409786c462d97b | e1409786c462d97b | e1409786c462d97b | e1409786c462d97b |
| et-clf/odd                   | IDENTICAL x4 | 1da918353bb9f10e | 1da918353bb9f10e | 1da918353bb9f10e | 1da918353bb9f10e |
| et-clf/ties                  | IDENTICAL x4 | 604f59c7a4203eeb | 604f59c7a4203eeb | 604f59c7a4203eeb | 604f59c7a4203eeb |
| et-clf/wide                  | IDENTICAL x4 | ee8b318d6bf698b2 | ee8b318d6bf698b2 | ee8b318d6bf698b2 | ee8b318d6bf698b2 |
| et-reg/base                  | IDENTICAL x4 | 754d8c127ecfc04d | 754d8c127ecfc04d | 754d8c127ecfc04d | 754d8c127ecfc04d |
| et-reg/denormal              | IDENTICAL x4 | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/denormal_ftz          | IDENTICAL x4 | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/dupes                 | IDENTICAL x4 | 9a63fea590f79a67 | 9a63fea590f79a67 | 9a63fea590f79a67 | 9a63fea590f79a67 |
| et-reg/hashed                | IDENTICAL x4 | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f |
| et-reg/negative              | IDENTICAL x4 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 |
| et-reg/odd                   | IDENTICAL x4 | c9fe7c90673c2661 | c9fe7c90673c2661 | c9fe7c90673c2661 | c9fe7c90673c2661 |
| et-reg/ties                  | IDENTICAL x4 | e7072e1c8fe0083c | e7072e1c8fe0083c | e7072e1c8fe0083c | e7072e1c8fe0083c |
| et-reg/wide                  | IDENTICAL x4 | b745e53515f59cac | b745e53515f59cac | b745e53515f59cac | b745e53515f59cac |
| gbdt-depthwise/base          | IDENTICAL x3 | 38726fc0c93c0bff | 38726fc0c93c0bff | 38726fc0c93c0bff | (not run)        |
| gbdt-depthwise/denormal      | IDENTICAL x3 | 64ba350c759ff2e9 | 64ba350c759ff2e9 | 64ba350c759ff2e9 | (not run)        |
| gbdt-depthwise/denormal_ftz  | IDENTICAL x3 | 64ba350c759ff2e9 | 64ba350c759ff2e9 | 64ba350c759ff2e9 | (not run)        |
| gbdt-depthwise/dupes         | IDENTICAL x3 | e521424a96e216cb | e521424a96e216cb | e521424a96e216cb | (not run)        |
| gbdt-depthwise/hashed        | IDENTICAL x3 | 9455870882645f48 | 9455870882645f48 | 9455870882645f48 | (not run)        |
| gbdt-depthwise/negative      | IDENTICAL x3 | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 | (not run)        |
| gbdt-depthwise/odd           | IDENTICAL x3 | fb9e5c03088814f6 | fb9e5c03088814f6 | fb9e5c03088814f6 | (not run)        |
| gbdt-depthwise/ties          | IDENTICAL x3 | 465cb10f303e005a | 465cb10f303e005a | 465cb10f303e005a | (not run)        |
| gbdt-depthwise/wide          | IDENTICAL x3 | 2a77ec865e62539a | 2a77ec865e62539a | 2a77ec865e62539a | (not run)        |
| gbdt-feature-freq/base       | IDENTICAL x3 | 7d9c56b51213cb42 | 7d9c56b51213cb42 | 7d9c56b51213cb42 | (not run)        |
| gbdt-feature-freq/denormal   | IDENTICAL x3 | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b | (not run)        |
| gbdt-feature-freq/denormal_ftz | IDENTICAL x3 | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b | (not run)        |
| gbdt-feature-freq/dupes      | IDENTICAL x3 | e8c61a9407503755 | e8c61a9407503755 | e8c61a9407503755 | (not run)        |
| gbdt-feature-freq/hashed     | IDENTICAL x3 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 | (not run)        |
| gbdt-feature-freq/negative   | IDENTICAL x3 | 75028913a14bb938 | 75028913a14bb938 | 75028913a14bb938 | (not run)        |
| gbdt-feature-freq/odd        | IDENTICAL x3 | c481331145bfb998 | c481331145bfb998 | c481331145bfb998 | (not run)        |
| gbdt-feature-freq/ties       | IDENTICAL x3 | 57ff9964d1af1d4a | 57ff9964d1af1d4a | 57ff9964d1af1d4a | (not run)        |
| gbdt-feature-freq/wide       | IDENTICAL x3 | c6d7fccba2483372 | c6d7fccba2483372 | c6d7fccba2483372 | (not run)        |
| gbdt-lossguide/base          | IDENTICAL x3 | bc3017cb29615105 | bc3017cb29615105 | bc3017cb29615105 | (not run)        |
| gbdt-lossguide/denormal      | IDENTICAL x3 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | (not run)        |
| gbdt-lossguide/denormal_ftz  | IDENTICAL x3 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | (not run)        |
| gbdt-lossguide/dupes         | IDENTICAL x3 | b1546f9b3c4293a5 | b1546f9b3c4293a5 | b1546f9b3c4293a5 | (not run)        |
| gbdt-lossguide/hashed        | IDENTICAL x3 | 3841103ecb3ac05d | 3841103ecb3ac05d | 3841103ecb3ac05d | (not run)        |
| gbdt-lossguide/negative      | IDENTICAL x3 | 67b332fcf8b5d0dd | 67b332fcf8b5d0dd | 67b332fcf8b5d0dd | (not run)        |
| gbdt-lossguide/odd           | IDENTICAL x3 | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 | (not run)        |
| gbdt-lossguide/ties          | IDENTICAL x3 | 19d199f7bfa16c25 | 19d199f7bfa16c25 | 19d199f7bfa16c25 | (not run)        |
| gbdt-lossguide/wide          | IDENTICAL x3 | b9cc1b2b55425cdc | b9cc1b2b55425cdc | b9cc1b2b55425cdc | (not run)        |
| gbdt-ordered-rmse/base       | IDENTICAL x3 | a6e77b5224108785 | a6e77b5224108785 | a6e77b5224108785 | (not run)        |
| gbdt-ordered-rmse/denormal   | IDENTICAL x3 | 67483c1b821234ac | 67483c1b821234ac | 67483c1b821234ac | (not run)        |
| gbdt-ordered-rmse/denormal_ftz | IDENTICAL x3 | 2a44bb38f86cd4ec | 2a44bb38f86cd4ec | 2a44bb38f86cd4ec | (not run)        |
| gbdt-ordered-rmse/dupes      | IDENTICAL x3 | 1e39bd4034194fb0 | 1e39bd4034194fb0 | 1e39bd4034194fb0 | (not run)        |
| gbdt-ordered-rmse/hashed     | IDENTICAL x3 | 30d789002f114183 | 30d789002f114183 | 30d789002f114183 | (not run)        |
| gbdt-ordered-rmse/negative   | IDENTICAL x3 | 50eaef5f0c669042 | 50eaef5f0c669042 | 50eaef5f0c669042 | (not run)        |
| gbdt-ordered-rmse/odd        | IDENTICAL x3 | d83c83930af5d802 | d83c83930af5d802 | d83c83930af5d802 | (not run)        |
| gbdt-ordered-rmse/ties       | IDENTICAL x3 | 563f339900c22c9d | 563f339900c22c9d | 563f339900c22c9d | (not run)        |
| gbdt-ordered-rmse/wide       | IDENTICAL x3 | 356a38c2904749c0 | 356a38c2904749c0 | 356a38c2904749c0 | (not run)        |
| gbdt-rmse/base               | IDENTICAL x3 | 3f8aef8d73be249c | 3f8aef8d73be249c | 3f8aef8d73be249c | (not run)        |
| gbdt-rmse/denormal           | IDENTICAL x3 | 400f099e655dc453 | 400f099e655dc453 | 400f099e655dc453 | (not run)        |
| gbdt-rmse/denormal_ftz       | IDENTICAL x3 | 400f099e655dc453 | 400f099e655dc453 | 400f099e655dc453 | (not run)        |
| gbdt-rmse/dupes              | IDENTICAL x3 | 49848bfd3c26b52e | 49848bfd3c26b52e | 49848bfd3c26b52e | (not run)        |
| gbdt-rmse/hashed             | IDENTICAL x3 | a89dba586c0f1ab4 | a89dba586c0f1ab4 | a89dba586c0f1ab4 | (not run)        |
| gbdt-rmse/negative           | IDENTICAL x3 | e54f74cdab3f29f0 | e54f74cdab3f29f0 | e54f74cdab3f29f0 | (not run)        |
| gbdt-rmse/odd                | IDENTICAL x3 | 7b54ca9d69e29714 | 7b54ca9d69e29714 | 7b54ca9d69e29714 | (not run)        |
| gbdt-rmse/ties               | IDENTICAL x3 | 88cba1574daa922e | 88cba1574daa922e | 88cba1574daa922e | (not run)        |
| gbdt-rmse/wide               | IDENTICAL x3 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 | (not run)        |
