| lane/fixture                 | verdict    | apple-m4         | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| gbdt-lossguide/odd           | IDENTICAL x3 | (not run)        | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 |
| gbdt-lossguide/ties          | IDENTICAL x3 | (not run)        | 19d199f7bfa16c25 | 19d199f7bfa16c25 | 19d199f7bfa16c25 |
| gbdt-lossguide/wide          | IDENTICAL x3 | (not run)        | b9cc1b2b55425cdc | b9cc1b2b55425cdc | b9cc1b2b55425cdc |
| gbdt-ordered-rmse/base       | IDENTICAL x3 | (not run)        | a6e77b5224108785 | a6e77b5224108785 | a6e77b5224108785 |
| gbdt-ordered-rmse/denormal   | IDENTICAL x3 | (not run)        | 67483c1b821234ac | 67483c1b821234ac | 67483c1b821234ac |
| gbdt-ordered-rmse/denormal_ftz | IDENTICAL x3 | (not run)        | 2a44bb38f86cd4ec | 2a44bb38f86cd4ec | 2a44bb38f86cd4ec |
| gbdt-ordered-rmse/dupes      | IDENTICAL x3 | (not run)        | 1e39bd4034194fb0 | 1e39bd4034194fb0 | 1e39bd4034194fb0 |
| gbdt-ordered-rmse/hashed     | IDENTICAL x3 | (not run)        | 30d789002f114183 | 30d789002f114183 | 30d789002f114183 |
| gbdt-ordered-rmse/negative   | IDENTICAL x3 | (not run)        | 50eaef5f0c669042 | 50eaef5f0c669042 | 50eaef5f0c669042 |
| gbdt-ordered-rmse/odd        | IDENTICAL x3 | (not run)        | d83c83930af5d802 | d83c83930af5d802 | d83c83930af5d802 |
| gbdt-ordered-rmse/ties       | IDENTICAL x3 | (not run)        | 563f339900c22c9d | 563f339900c22c9d | 563f339900c22c9d |
| gbdt-ordered-rmse/wide       | IDENTICAL x3 | (not run)        | 356a38c2904749c0 | 356a38c2904749c0 | 356a38c2904749c0 |
| gbdt-rmse/base               | IDENTICAL x3 | (not run)        | 3f8aef8d73be249c | 3f8aef8d73be249c | 3f8aef8d73be249c |
| gbdt-rmse/denormal           | IDENTICAL x3 | (not run)        | 400f099e655dc453 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/denormal_ftz       | IDENTICAL x3 | (not run)        | 400f099e655dc453 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/dupes              | IDENTICAL x3 | (not run)        | 49848bfd3c26b52e | 49848bfd3c26b52e | 49848bfd3c26b52e |
| gbdt-rmse/hashed             | IDENTICAL x3 | (not run)        | a89dba586c0f1ab4 | a89dba586c0f1ab4 | a89dba586c0f1ab4 |
| gbdt-rmse/negative           | IDENTICAL x3 | (not run)        | e54f74cdab3f29f0 | e54f74cdab3f29f0 | e54f74cdab3f29f0 |
| gbdt-rmse/odd                | IDENTICAL x3 | (not run)        | 7b54ca9d69e29714 | 7b54ca9d69e29714 | 7b54ca9d69e29714 |
| gbdt-rmse/ties               | IDENTICAL x3 | (not run)        | 88cba1574daa922e | 88cba1574daa922e | 88cba1574daa922e |
| gbdt-rmse/wide               | IDENTICAL x3 | (not run)        | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 |
| gbdt-symmetric/base          | IDENTICAL x3 | (not run)        | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal      | IDENTICAL x3 | (not run)        | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
