# GENERATED by tokenizer/tools/gen_unicode_categories.py -- do not hand-edit
# unicodedata 16.0.0 (python 3.14.6)
# class	first_hex	last_hex  (inclusive, ascending, disjoint)
# L = \p{L} (Lu Ll Lt Lm Lo), N = \p{N} (Nd Nl No), WS = White_Space property (\s)
L	176E	1770
L	1780	17B3
L	17D7	17D7
L	17DC	17DC
L	1820	1878
L	1880	1884
L	1887	18A8
L	18AA	18AA
L	18B0	18F5
L	1900	191E
L	1950	196D
L	1970	1974
L	1980	19AB
L	19B0	19C9
L	1A00	1A16
L	1A20	1A54
L	1AA7	1AA7
L	1B05	1B33
L	1B45	1B4C
L	1B83	1BA0
L	1BAE	1BAF
L	1BBA	1BE5
L	1C00	1C23
L	1C4D	1C4F
L	1C5A	1C7D
L	1C80	1C8A
L	1C90	1CBA
L	1CBD	1CBF
L	1CE9	1CEC
L	1CEE	1CF3
L	1CF5	1CF6
L	1CFA	1CFA
L	1D00	1DBF
L	1E00	1F15
L	1F18	1F1D
L	1F20	1F45
L	1F48	1F4D
L	1F50	1F57
L	1F59	1F59
L	1F5B	1F5B
L	1F5D	1F5D
L	1F5F	1F7D
L	1F80	1FB4
L	1FB6	1FBC
L	1FBE	1FBE
L	1FC2	1FC4
L	1FC6	1FCC
L	1FD0	1FD3
L	1FD6	1FDB
L	1FE0	1FEC
L	1FF2	1FF4
L	1FF6	1FFC
L	2071	2071
L	207F	207F
L	2090	209C
L	2102	2102
L	2107	2107
L	210A	2113
L	2115	2115
L	2119	211D
L	2124	2124
L	2126	2126
L	2128	2128
L	212A	212D
L	212F	2139
L	213C	213F
L	2145	2149
L	214E	214E
L	2183	2184
L	2C00	2CE4
L	2CEB	2CEE
L	2CF2	2CF3
L	2D00	2D25
L	2D27	2D27
L	2D2D	2D2D
L	2D30	2D67
L	2D6F	2D6F
L	2D80	2D96
L	2DA0	2DA6
L	2DA8	2DAE
L	2DB0	2DB6
L	2DB8	2DBE
L	2DC0	2DC6
L	2DC8	2DCE
L	2DD0	2DD6
L	2DD8	2DDE
L	2E2F	2E2F
L	3005	3006
L	3031	3035
L	303B	303C
L	3041	3096
L	309D	309F
L	30A1	30FA
L	30FC	30FF
L	3105	312F
L	3131	318E
L	31A0	31BF
L	31F0	31FF
L	3400	4DBF
L	4E00	A48C
L	A4D0	A4FD
L	A500	A60C
L	A610	A61F
L	A62A	A62B
L	A640	A66E
L	A67F	A69D
L	A6A0	A6E5
L	A717	A71F
L	A722	A788
L	A78B	A7CD
L	A7D0	A7D1
L	A7D3	A7D3
L	A7D5	A7DC
L	A7F2	A801
L	A803	A805
L	A807	A80A
L	A80C	A822
L	A840	A873
L	A882	A8B3
L	A8F2	A8F7
L	A8FB	A8FB
L	A8FD	A8FE
L	A90A	A925
L	A930	A946
L	A960	A97C
L	A984	A9B2
L	A9CF	A9CF
L	A9E0	A9E4
L	A9E6	A9EF
L	A9FA	A9FE
L	AA00	AA28
L	AA40	AA42
L	AA44	AA4B
L	AA60	AA76
L	AA7A	AA7A
L	AA7E	AAAF
L	AAB1	AAB1
L	AAB5	AAB6
L	AAB9	AABD
L	AAC0	AAC0
L	AAC2	AAC2
L	AADB	AADD
L	AAE0	AAEA
L	AAF2	AAF4
L	AB01	AB06
L	AB09	AB0E
L	AB11	AB16
L	AB20	AB26
L	AB28	AB2E
L	AB30	AB5A
L	AB5C	AB69
L	AB70	ABE2
L	AC00	D7A3
L	D7B0	D7C6
L	D7CB	D7FB
L	F900	FA6D
L	FA70	FAD9
L	FB00	FB06
L	FB13	FB17
L	FB1D	FB1D
L	FB1F	FB28
L	FB2A	FB36
L	FB38	FB3C
L	FB3E	FB3E
L	FB40	FB41
L	FB43	FB44
L	FB46	FBB1
L	FBD3	FD3D
L	FD50	FD8F
L	FD92	FDC7
L	FDF0	FDFB
L	FE70	FE74
L	FE76	FEFC
L	FF21	FF3A
L	FF41	FF5A
L	FF66	FFBE
L	FFC2	FFC7
L	FFCA	FFCF
L	FFD2	FFD7
L	FFDA	FFDC
L	10000	1000B
L	1000D	10026
L	10028	1003A
L	1003C	1003D
L	1003F	1004D
L	10050	1005D
L	10080	100FA
L	10280	1029C
L	102A0	102D0
L	10300	1031F
L	1032D	10340
L	10342	10349
L	10350	10375
L	10380	1039D
L	103A0	103C3
L	103C8	103CF
L	10400	1049D
L	104B0	104D3
L	104D8	104FB
L	10500	10527
L	10530	10563
L	10570	1057A
L	1057C	1058A
L	1058C	10592
L	10594	10595
L	10597	105A1
L	105A3	105B1
L	105B3	105B9
L	105BB	105BC
L	105C0	105F3
L	10600	10736
L	10740	10755
L	10760	10767
L	10780	10785
L	10787	107B0
L	107B2	107BA
L	10800	10805
L	10808	10808
L	1080A	10835
L	10837	10838
L	1083C	1083C
L	1083F	10855
L	10860	10876
L	10880	1089E
L	108E0	108F2
L	108F4	108F5
L	10900	10915
L	10920	10939
L	10980	109B7
L	109BE	109BF
L	10A00	10A00
L	10A10	10A13
L	10A15	10A17
L	10A19	10A35
L	10A60	10A7C
L	10A80	10A9C
L	10AC0	10AC7
L	10AC9	10AE4
L	10B00	10B35
L	10B40	10B55
L	10B60	10B72
L	10B80	10B91
L	10C00	10C48
L	10C80	10CB2
L	10CC0	10CF2
L	10D00	10D23
L	10D4A	10D65
L	10D6F	10D85
L	10E80	10EA9
L	10EB0	10EB1
L	10EC2	10EC4
L	10F00	10F1C
L	10F27	10F27
L	10F30	10F45
L	10F70	10F81
L	10FB0	10FC4
L	10FE0	10FF6
L	11003	11037
L	11071	11072
L	11075	11075
L	11083	110AF
L	110D0	110E8
L	11103	11126
L	11144	11144
L	11147	11147
L	11150	11172
L	11176	11176
L	11183	111B2
L	111C1	111C4
L	111DA	111DA
L	111DC	111DC
L	11200	11211
L	11213	1122B
L	1123F	11240
L	11280	11286
L	11288	11288
L	1128A	1128D
L	1128F	1129D
L	1129F	112A8
L	112B0	112DE
L	11305	1130C
L	1130F	11310
L	11313	11328
L	1132A	11330
L	11332	11333
L	11335	11339
L	1133D	1133D
L	11350	11350
L	1135D	11361
L	11380	11389
L	1138B	1138B
L	1138E	1138E
L	11390	113B5
L	113B7	113B7
L	113D1	113D1
L	113D3	113D3
L	11400	11434
L	11447	1144A
L	1145F	11461
L	11480	114AF
L	114C4	114C5
L	114C7	114C7
L	11580	115AE
L	115D8	115DB
L	11600	1162F
L	11644	11644
L	11680	116AA
L	116B8	116B8
L	11700	1171A
L	11740	11746
L	11800	1182B
L	118A0	118DF
L	118FF	11906
L	11909	11909
L	1190C	11913
L	11915	11916
L	11918	1192F
L	1193F	1193F
L	11941	11941
L	119A0	119A7
L	119AA	119D0
L	119E1	119E1
L	119E3	119E3
L	11A00	11A00
L	11A0B	11A32
L	11A3A	11A3A
L	11A50	11A50
L	11A5C	11A89
L	11A9D	11A9D
L	11AB0	11AF8
L	11BC0	11BE0
L	11C00	11C08
L	11C0A	11C2E
L	11C40	11C40
L	11C72	11C8F
L	11D00	11D06
L	11D08	11D09
L	11D0B	11D30
L	11D46	11D46
L	11D60	11D65
L	11D67	11D68
L	11D6A	11D89
L	11D98	11D98
L	11EE0	11EF2
L	11F02	11F02
L	11F04	11F10
L	11F12	11F33
L	11FB0	11FB0
L	12000	12399
L	12480	12543
L	12F90	12FF0
L	13000	1342F
L	13441	13446
L	13460	143FA
L	14400	14646
L	16100	1611D
L	16800	16A38
L	16A40	16A5E
L	16A70	16ABE
L	16AD0	16AED
L	16B00	16B2F
L	16B40	16B43
L	16B63	16B77
L	16B7D	16B8F
L	16D40	16D6C
L	16E40	16E7F
L	16F00	16F4A
L	16F50	16F50
L	16F93	16F9F
L	16FE0	16FE1
L	16FE3	16FE3
L	17000	187F7
L	18800	18CD5
L	18CFF	18D08
L	1AFF0	1AFF3
L	1AFF5	1AFFB
L	1AFFD	1AFFE
L	1B000	1B122
L	1B132	1B132
L	1B150	1B152
L	1B155	1B155
L	1B164	1B167
L	1B170	1B2FB
L	1BC00	1BC6A
L	1BC70	1BC7C
L	1BC80	1BC88
L	1BC90	1BC99
L	1D400	1D454
L	1D456	1D49C
L	1D49E	1D49F
L	1D4A2	1D4A2
L	1D4A5	1D4A6
L	1D4A9	1D4AC
L	1D4AE	1D4B9
L	1D4BB	1D4BB
L	1D4BD	1D4C3
L	1D4C5	1D505
L	1D507	1D50A
L	1D50D	1D514
L	1D516	1D51C
L	1D51E	1D539
L	1D53B	1D53E
L	1D540	1D544
L	1D546	1D546
L	1D54A	1D550
L	1D552	1D6A5
L	1D6A8	1D6C0
L	1D6C2	1D6DA
L	1D6DC	1D6FA
L	1D6FC	1D714
L	1D716	1D734
L	1D736	1D74E
L	1D750	1D76E
L	1D770	1D788
L	1D78A	1D7A8
L	1D7AA	1D7C2
L	1D7C4	1D7CB
L	1DF00	1DF1E
L	1DF25	1DF2A
L	1E030	1E06D
L	1E100	1E12C
L	1E137	1E13D
L	1E14E	1E14E
L	1E290	1E2AD
L	1E2C0	1E2EB
L	1E4D0	1E4EB
L	1E5D0	1E5ED
L	1E5F0	1E5F0
L	1E7E0	1E7E6
L	1E7E8	1E7EB
L	1E7ED	1E7EE
L	1E7F0	1E7FE
L	1E800	1E8C4
L	1E900	1E943
L	1E94B	1E94B
L	1EE00	1EE03
L	1EE05	1EE1F
L	1EE21	1EE22
L	1EE24	1EE24
L	1EE27	1EE27
L	1EE29	1EE32
L	1EE34	1EE37
L	1EE39	1EE39
L	1EE3B	1EE3B
L	1EE42	1EE42
L	1EE47	1EE47
L	1EE49	1EE49
L	1EE4B	1EE4B
L	1EE4D	1EE4F
L	1EE51	1EE52
L	1EE54	1EE54
L	1EE57	1EE57
L	1EE59	1EE59
L	1EE5B	1EE5B
L	1EE5D	1EE5D
L	1EE5F	1EE5F
L	1EE61	1EE62
L	1EE64	1EE64
L	1EE67	1EE6A
