dataset	kind	operation	arm	outer	shape	median_ms	spread	hash	hashes_equal	quality	ordered_selected	numeric_mode	vendor
istella	rf	proba	sequential	1	[1000000,220]	3754.868725	1.0511095517522586	2fbf63fc3b160bcef716c47da1466dbc9f04e66d5b74670f5407216bbdfcbe56:float32:(1000000, 2)	True	{"logloss":0.10616231706806098}	False	identical	hip
taxi	et	predict	sequential	1	[1000000,11]	4128.37236	1.0838493899688437	e365b02ce0bdbb2d63d569e58c8ccaf3a73110b7efc322e417b2aedd3b8ee87f:float64:(1000000,)	True	{"accuracy":0.779572}	False	identical	hip
taxi	et	proba	sequential	1	[1000000,11]	3830.112932	1.1626536068491	2c57602697906a4fb595e369067c54a03a11f4dddac58954731bc01cf87d2e8f:float64:(1000000, 2)	True	{"logloss":0.511442794448887}	False	identical	hip
taxi	rf	predict	sequential	1	[1000000,11]	4212.657507	1.1050460240299662	3f4162a261c9dd4529160a234add86e1f71b96eb5ffd7c1b898784bfd9478ff4:float64:(1000000,)	True	{"accuracy":0.78429}	False	identical	hip
taxi	rf	proba	sequential	1	[1000000,11]	4207.313839	1.0026028033769496	db0b85cc8de74943ddb1a18b1602d90550d7e775df036027be0cae5917c8a10c:float32:(1000000, 2)	True	{"logloss":0.4899468627365843}	False	identical	hip
istella	et	predict	ordered	2	[1000000,220]	58.840787	1.0055893137378227	b3b42d5e0e4f854f937cb568290e47a5860097f331829662bc002836e27f3276:float64:(1000000,)	True	{"accuracy":0.938552}	True	identical	hip
istella	et	proba	ordered	2	[1000000,220]	57.946116	1.0059722615542035	f6229b25c5b92d85cde95cb27aa03efbee3c123f3df751350a1bf8fd546788c7:float64:(1000000, 2)	True	{"logloss":0.17000726240032313}	True	identical	hip
istella	rf	predict	ordered	2	[1000000,220]	61.437235	1.0327437625943883	2b999b6530663cda4b8dcc073956daf4cbfa24021a5bda527d7bed0f6e35f6f6:float64:(1000000,)	True	{"accuracy":0.965139}	True	identical	hip
istella	rf	proba	ordered	2	[1000000,220]	59.803991	1.0169534131771776	2fbf63fc3b160bcef716c47da1466dbc9f04e66d5b74670f5407216bbdfcbe56:float32:(1000000, 2)	True	{"logloss":0.10616231706806098}	True	identical	hip
taxi	et	predict	ordered	2	[1000000,11]	7.743534	1.1060607611011943	e365b02ce0bdbb2d63d569e58c8ccaf3a73110b7efc322e417b2aedd3b8ee87f:float64:(1000000,)	True	{"accuracy":0.779572}	True	identical	hip
taxi	et	proba	ordered	2	[1000000,11]	7.010558	1.0873789857722398	2c57602697906a4fb595e369067c54a03a11f4dddac58954731bc01cf87d2e8f:float64:(1000000, 2)	True	{"logloss":0.511442794448887}	True	identical	hip
taxi	rf	predict	ordered	2	[1000000,11]	9.339939	1.109906098246919	3f4162a261c9dd4529160a234add86e1f71b96eb5ffd7c1b898784bfd9478ff4:float64:(1000000,)	True	{"accuracy":0.78429}	True	identical	hip
taxi	rf	proba	ordered	2	[1000000,11]	7.93732	1.0585792578812907	db0b85cc8de74943ddb1a18b1602d90550d7e775df036027be0cae5917c8a10c:float32:(1000000, 2)	True	{"logloss":0.4899468627365843}	True	identical	hip
istella	et	predict	sequential	2	[1000000,220]	4973.454186	1.0934880201539998	b3b42d5e0e4f854f937cb568290e47a5860097f331829662bc002836e27f3276:float64:(1000000,)	True	{"accuracy":0.938552}	False	identical	hip
istella	et	proba	sequential	2	[1000000,220]	4199.769005	1.0443269934164168	f6229b25c5b92d85cde95cb27aa03efbee3c123f3df751350a1bf8fd546788c7:float64:(1000000, 2)	True	{"logloss":0.17000726240032313}	False	identical	hip
istella	rf	predict	sequential	2	[1000000,220]	4224.667765	1.1333476479522064	2b999b6530663cda4b8dcc073956daf4cbfa24021a5bda527d7bed0f6e35f6f6:float64:(1000000,)	True	{"accuracy":0.965139}	False	identical	hip
istella	rf	proba	sequential	2	[1000000,220]	4591.696424	1.1998157500461835	2fbf63fc3b160bcef716c47da1466dbc9f04e66d5b74670f5407216bbdfcbe56:float32:(1000000, 2)	True	{"logloss":0.10616231706806098}	False	identical	hip
taxi	et	predict	sequential	2	[1000000,11]	4139.322642	1.0291263530898676	e365b02ce0bdbb2d63d569e58c8ccaf3a73110b7efc322e417b2aedd3b8ee87f:float64:(1000000,)	True	{"accuracy":0.779572}	False	identical	hip
taxi	et	proba	sequential	2	[1000000,11]	4138.254896	1.1829949469339531	2c57602697906a4fb595e369067c54a03a11f4dddac58954731bc01cf87d2e8f:float64:(1000000, 2)	True	{"logloss":0.511442794448887}	False	identical	hip
taxi	rf	predict	sequential	2	[1000000,11]	4194.408782	1.011721523738452	3f4162a261c9dd4529160a234add86e1f71b96eb5ffd7c1b898784bfd9478ff4:float64:(1000000,)	True	{"accuracy":0.78429}	False	identical	hip
taxi	rf	proba	sequential	2	[1000000,11]	4203.199442	1.1541242190981982	db0b85cc8de74943ddb1a18b1602d90550d7e775df036027be0cae5917c8a10c:float32:(1000000, 2)	True	{"logloss":0.4899468627365843}	False	identical	hip
istella	et	predict	ordered	3	[1000000,220]	58.841698	1.004707170080866	b3b42d5e0e4f854f937cb568290e47a5860097f331829662bc002836e27f3276:float64:(1000000,)	True	{"accuracy":0.938552}	True	identical	hip
istella	et	proba	ordered	3	[1000000,220]	58.029579	1.0088953712350979	f6229b25c5b92d85cde95cb27aa03efbee3c123f3df751350a1bf8fd546788c7:float64:(1000000, 2)	True	{"logloss":0.17000726240032313}	True	identical	hip
istella	rf	predict	ordered	3	[1000000,220]	61.55472	1.0389077286067778	2b999b6530663cda4b8dcc073956daf4cbfa24021a5bda527d7bed0f6e35f6f6:float64:(1000000,)	True	{"accuracy":0.965139}	True	identical	hip
istella	rf	proba	ordered	3	[1000000,220]	59.783859	1.0067803093806151	2fbf63fc3b160bcef716c47da1466dbc9f04e66d5b74670f5407216bbdfcbe56:float32:(1000000, 2)	True	{"logloss":0.10616231706806098}	True	identical	hip
taxi	et	predict	ordered	3	[1000000,11]	7.850297	1.0993729187507708	e365b02ce0bdbb2d63d569e58c8ccaf3a73110b7efc322e417b2aedd3b8ee87f:float64:(1000000,)	True	{"accuracy":0.779572}	True	identical	hip
taxi	et	proba	ordered	3	[1000000,11]	7.056921	1.0715841627867457	2c57602697906a4fb595e369067c54a03a11f4dddac58954731bc01cf87d2e8f:float64:(1000000, 2)	True	{"logloss":0.511442794448887}	True	identical	hip
taxi	rf	predict	ordered	3	[1000000,11]	9.345109	1.0840609698411297	3f4162a261c9dd4529160a234add86e1f71b96eb5ffd7c1b898784bfd9478ff4:float64:(1000000,)	True	{"accuracy":0.78429}	True	identical	hip
taxi	rf	proba	ordered	3	[1000000,11]	8.022864	1.0765036616655284	db0b85cc8de74943ddb1a18b1602d90550d7e775df036027be0cae5917c8a10c:float32:(1000000, 2)	True	{"logloss":0.4899468627365843}	True	identical	hip
istella	et	predict	sequential	3	[1000000,220]	4120.542351	1.0857589000455434	b3b42d5e0e4f854f937cb568290e47a5860097f331829662bc002836e27f3276:float64:(1000000,)	True	{"accuracy":0.938552}	False	identical	hip
istella	et	proba	sequential	3	[1000000,220]	4124.006771	1.0360926064668983	f6229b25c5b92d85cde95cb27aa03efbee3c123f3df751350a1bf8fd546788c7:float64:(1000000, 2)	True	{"logloss":0.17000726240032313}	False	identical	hip
istella	rf	predict	sequential	3	[1000000,220]	4269.644378	1.143722062133669	2b999b6530663cda4b8dcc073956daf4cbfa24021a5bda527d7bed0f6e35f6f6:float64:(1000000,)	True	{"accuracy":0.965139}	False	identical	hip
istella	rf	proba	sequential	3	[1000000,220]	4311.682721	1.1020031064687428	2fbf63fc3b160bcef716c47da1466dbc9f04e66d5b74670f5407216bbdfcbe56:float32:(1000000, 2)	True	{"logloss":0.10616231706806098}	False	identical	hip
taxi	et	predict	sequential	3	[1000000,11]	4472.427396	1.078660874690532	e365b02ce0bdbb2d63d569e58c8ccaf3a73110b7efc322e417b2aedd3b8ee87f:float64:(1000000,)	True	{"accuracy":0.779572}	False	identical	hip
taxi	et	proba	sequential	3	[1000000,11]	4503.798725	1.038235066315328	2c57602697906a4fb595e369067c54a03a11f4dddac58954731bc01cf87d2e8f:float64:(1000000, 2)	True	{"logloss":0.511442794448887}	False	identical	hip
taxi	rf	predict	sequential	3	[1000000,11]	4813.151308	1.1385533037044357	3f4162a261c9dd4529160a234add86e1f71b96eb5ffd7c1b898784bfd9478ff4:float64:(1000000,)	True	{"accuracy":0.78429}	False	identical	hip
taxi	rf	proba	sequential	3	[1000000,11]	4789.221401	1.0070182364666607	db0b85cc8de74943ddb1a18b1602d90550d7e775df036027be0cae5917c8a10c:float32:(1000000, 2)	True	{"logloss":0.4899468627365843}	False	identical	hip
