NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=3e7d0f47501c8e0f776dcdcfedeb45ffd6a28d28
| holtwinters/base             | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/base             | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/denormal         | infer  | DIVERGENT    | 5e7dba822d698dd4 | e4d1fb4fb6483655 |
| holtwinters/denormal         | model  | DIVERGENT    | 0d96a83353519cac | 44ab468e95b0cdd4 |
| holtwinters/denormal         | batch  | DIVERGENT    | 0b25b078a96b247e | 875a061dd457af0a |
| holtwinters/denormal         | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/denormal         | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/denormal         | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/denormal         | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/denormal_ftz     | infer  | DIVERGENT    | 5e7dba822d698dd4 | e4d1fb4fb6483655 |
| holtwinters/denormal_ftz     | model  | DIVERGENT    | 0d96a83353519cac | 44ab468e95b0cdd4 |
| holtwinters/denormal_ftz     | batch  | DIVERGENT    | 0b25b078a96b247e | 875a061dd457af0a |
| holtwinters/denormal_ftz     | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/denormal_ftz     | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/denormal_ftz     | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/denormal_ftz     | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/dupes            | infer  | DIVERGENT    | 44ccc710b68fadca | 481f126d98a72474 |
| holtwinters/dupes            | model  | DIVERGENT    | 78ff983389a12959 | 6e7391233754b2d9 |
| holtwinters/dupes            | batch  | DIVERGENT    | c1e9c2f1bda0935e | cecd37f5351dbc02 |
| holtwinters/dupes            | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/dupes            | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/dupes            | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/dupes            | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/hashed           | infer  | DIVERGENT    | 704f730f62e457ef | 661762da76371d89 |
