NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9965-192-core-processor is a CPU column: cpu_model='AMD EPYC 9965 192-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_tsa_host'] commit=07201a6149b5f86fad77335ba7219a2588f1e66b
| par-forecast-holtwinters/denormal_ftz | infer  | ONE-COLUMN   | c510c55d7fe7634c | REFUSED          |
| par-forecast-holtwinters/denormal_ftz | model  | ONE-COLUMN   | 4aa7580e6078aafc | REFUSED          |
| par-forecast-holtwinters/denormal_ftz | batch  | BATCH_MOVED  | e9ecaede17a9e007 | BATCH_MOVED      |
| par-forecast-holtwinters/denormal_ftz | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/denormal_ftz | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/denormal_ftz | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/denormal_ftz | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/dupes | infer  | ONE-COLUMN   | f64346115fd1e485 | REFUSED          |
| par-forecast-holtwinters/dupes | model  | ONE-COLUMN   | 574f8ee721ff8cb1 | REFUSED          |
| par-forecast-holtwinters/dupes | batch  | BATCH_MOVED  | 5a24aebcd557a49d | BATCH_MOVED      |
| par-forecast-holtwinters/dupes | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/dupes | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/dupes | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/dupes | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/hashed | infer  | ONE-COLUMN   | e889103b9e2156b0 | REFUSED          |
| par-forecast-holtwinters/hashed | model  | ONE-COLUMN   | b98682943d8f6ca8 | REFUSED          |
| par-forecast-holtwinters/hashed | batch  | BATCH_MOVED  | 560a4a23f15b7be0 | BATCH_MOVED      |
| par-forecast-holtwinters/hashed | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/hashed | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/hashed | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
