# DEVIATION 2630 step breakdown; ms per step, median over the timed steps
# gpu: NVIDIA H100 80GB HBM3, 580.126.09, 81559 MiB, 9.0, 5, 16, 700.00 W, 31, 1980 MHz, GPU-6ba9b52d-1dbd-23cc-e297-f09331d8896f
# host: model name	: Intel(R) Xeon(R) Platinum 8480+ | nproc=2 | 6.8.0-106-generic
corpus	kind	component	parent	depth	ms_per_step_median	share_of_envelope	lines_per_step	launches_per_step	syncs_per_step	note
enwik8	category	logits softmax and cross entropy, forward and backward, loss readback	envelope.native_call	1	2.716	0.0091				leaves summed per step, then the median
enwik8	category	embedding forward and backward	envelope.native_call	1	2.583	0.0086				leaves summed per step, then the median
enwik8	category	ids upload, weight unpack and gradient pack copies	envelope.native_call	1	2.505	0.0084				leaves summed per step, then the median
enwik8	category	attention rope and kv cache	envelope.native_call	1	2.363	0.0079				leaves summed per step, then the median
enwik8	category	residual adds, copies and fan-in adds	envelope.native_call	1	1.825	0.0061				leaves summed per step, then the median
enwik8	category	swiglu activation backward (gate product, silu)	envelope.native_call	1	1.066	0.0036				leaves summed per step, then the median
enwik8	category	swiglu activation forward (silu, gate product)	envelope.native_call	1	0.737	0.0025				leaves summed per step, then the median
enwik8	category	binding admission, final wait and publish	envelope.native_call	1	0.031	0.0001				leaves summed per step, then the median
enwik8	gemm	gemm.down_dA	(cross-cut)		6.915	0.0231	12	12.0	24.0	calls per step = lines_per_step; ms per call 0.576
enwik8	gemm	gemm.down_dB	(cross-cut)		7.136	0.0238	12	24.0	48.0	calls per step = lines_per_step; ms per call 0.595
enwik8	gemm	gemm.down_fwd	(cross-cut)		6.915	0.0231	12	24.0	48.0	calls per step = lines_per_step; ms per call 0.576
enwik8	gemm	gemm.gateup_dA	(cross-cut)		13.907	0.0464	24	48.0	96.0	calls per step = lines_per_step; ms per call 0.579
enwik8	gemm	gemm.gateup_dB	(cross-cut)		14.177	0.0473	24	48.0	96.0	calls per step = lines_per_step; ms per call 0.591
enwik8	gemm	gemm.gateup_fwd	(cross-cut)		13.548	0.0452	24	24.0	48.0	calls per step = lines_per_step; ms per call 0.565
enwik8	gemm	gemm.head_dA	(cross-cut)		14.391	0.0480	1	2.0	2.0	calls per step = lines_per_step; ms per call 14.391
enwik8	gemm	gemm.head_dB	(cross-cut)		14.020	0.0468	1	1.0	1.0	calls per step = lines_per_step; ms per call 14.020
enwik8	gemm	gemm.head_fwd	(cross-cut)		13.884	0.0463	1	1.0	1.0	calls per step = lines_per_step; ms per call 13.884
enwik8	gemm	gemm.norm_dW	(cross-cut)		0.805	0.0027	24	48.0	48.0	calls per step = lines_per_step; ms per call 0.034
enwik8	gemm	gemm.proj_dA	(cross-cut)		13.122	0.0438	48	96.0	192.0	calls per step = lines_per_step; ms per call 0.273
enwik8	gemm	gemm.proj_dB	(cross-cut)		13.028	0.0435	48	96.0	192.0	calls per step = lines_per_step; ms per call 0.271
enwik8	gemm	gemm.proj_fwd	(cross-cut)		13.030	0.0435	48	96.0	192.0	calls per step = lines_per_step; ms per call 0.271
enwik8	gemm	gemm.total	(cross-cut)		144.875	0.4833				every gemm.* line per step
enwik8	count	count.copies_d2d						24.0		per native step
enwik8	count	count.copies_d2h						158.0		per native step
enwik8	count	count.copies_h2d						2.0		per native step
enwik8	count	count.device_allocs						678.0		per native step
enwik8	count	count.host_allocs						155.0		per native step
enwik8	count	count.launches						1324.0		per native step
enwik8	count	count.native_steps						1.0		per native step
enwik8	count	count.synchronizes						2021.0		per native step
enwik8	untreed	step.py_flags			0.141	0.0005	1			not a node of the tree (outside the envelope or unknown)
enwik8	untreed	step.py_tokens			0.323	0.0011	1			not a node of the tree (outside the envelope or unknown)
enwik8	lean	lean.shipped_build			295.789	0.9867				steady median, shipped build, untimed (THE price)
enwik8	lean	lean.timers_build_switch_off			294.746	0.9832				steady median, timers build, switch off
enwik8	lean	lean.timers_build_switch_on_wall			300.441	1.0022				median wall of the timed steps (not a price)
enwik8	lean	lean.shipped_build_again			294.408	0.9821				shipped build rerun last (pod drift)
enwik8	lean	overhead.compiled_in_switch_off			-1.043	-0.0035				timers build switch off minus shipped
enwik8	lean	overhead.switch_on			4.653	0.0155				switch-on wall minus shipped
enwik8	envelope	envelope.native_call		0	299.784	1.0000				median of 3 timed steps: 299.784, 303.939, 299.547
pilegithub	parent	envelope.native_call		0	299.647	1.0000	1			
pilegithub	leaf	step.bind_scalar_admission	envelope.native_call	1	0.009	0.0000	1			
pilegithub	leaf	step.upload_inputs	envelope.native_call	1	0.165	0.0006	1			
pilegithub	leaf	step.unpack_weights	envelope.native_call	1	1.145	0.0038	1			
pilegithub	leaf	step.embedding_forward	envelope.native_call	1	0.057	0.0002	1			
pilegithub	parent	envelope.blocks_forward	envelope.native_call	1	66.636	0.2224	1			
pilegithub	parent	block.norm1	envelope.blocks_forward	2	3.892	0.0130	12			
pilegithub	leaf	fwd.refuse_call	block.norm1	3	0.690	0.0023	12	24.0	96.0	
pilegithub	leaf	fwd.norm1	block.norm1	3	3.064	0.0102	12	12.0	12.0	
pilegithub	remainder	remainder:block.norm1	block.norm1	3	0.138	0.0005				parent minus its children per step, then the median
