| lane/fixture                 | verdict    | box-arch-2710    | box-arch-2710dead |
|------------------------------|------------|------------------|------------------|
| gbdt-rmse/dupes              | model  | IDENTICAL x2 | d9198fa372812bc0 | d9198fa372812bc0 |
| gbdt-rmse/hashed             | infer  | IDENTICAL x2 | b79afaae27b8bdb6 | b79afaae27b8bdb6 |
| gbdt-rmse/hashed             | model  | IDENTICAL x2 | e11795530a351b48 | e11795530a351b48 |
| gbdt-rmse/negative           | infer  | IDENTICAL x2 | 2f7db100a96ca46b | 2f7db100a96ca46b |
| gbdt-rmse/negative           | model  | IDENTICAL x2 | 70b2f95595d7194e | 70b2f95595d7194e |
| gbdt-rmse/odd                | infer  | IDENTICAL x2 | 88f9e64eea1b35df | 88f9e64eea1b35df |
| gbdt-rmse/odd                | model  | IDENTICAL x2 | 7a0ea772f0108d40 | 7a0ea772f0108d40 |
| gbdt-rmse/ties               | infer  | IDENTICAL x2 | 4044415de3b73aee | 4044415de3b73aee |
| gbdt-rmse/ties               | model  | IDENTICAL x2 | b1eb77816b7f439a | b1eb77816b7f439a |
| gbdt-rmse/wide               | infer  | IDENTICAL x2 | 3f008ec3ab37ef2f | 3f008ec3ab37ef2f |
| gbdt-rmse/wide               | model  | IDENTICAL x2 | 153340671f3c1919 | 153340671f3c1919 |
| gbdt-symmetric/base          | infer  | IDENTICAL x2 | e1db044dc82354ac | e1db044dc82354ac |
| gbdt-symmetric/base          | model  | IDENTICAL x2 | ee776c33f052679a | ee776c33f052679a |
| gbdt-symmetric/denormal      | infer  | IDENTICAL x2 | e1db044dc82354ac | e1db044dc82354ac |
| gbdt-symmetric/denormal      | model  | IDENTICAL x2 | 4f2c8b24bbe2eb42 | 4f2c8b24bbe2eb42 |
| gbdt-symmetric/denormal_ftz  | infer  | IDENTICAL x2 | e1db044dc82354ac | e1db044dc82354ac |
| gbdt-symmetric/denormal_ftz  | model  | IDENTICAL x2 | 4f2c8b24bbe2eb42 | 4f2c8b24bbe2eb42 |
| gbdt-symmetric/dupes         | infer  | IDENTICAL x2 | 04bc7278a6524318 | 04bc7278a6524318 |
| gbdt-symmetric/dupes         | model  | IDENTICAL x2 | 534330823f304849 | 534330823f304849 |
| gbdt-symmetric/hashed        | infer  | IDENTICAL x2 | 548cebaf2b1310eb | 548cebaf2b1310eb |
| gbdt-symmetric/hashed        | model  | IDENTICAL x2 | 24d9422c46dcfff9 | 24d9422c46dcfff9 |
| gbdt-symmetric/negative      | infer  | IDENTICAL x2 | 3d7847393c2eeeed | 3d7847393c2eeeed |
| gbdt-symmetric/negative      | model  | IDENTICAL x2 | 145ac848bbea01ba | 145ac848bbea01ba |
| gbdt-symmetric/odd           | infer  | IDENTICAL x2 | 24dbd6988a519e0c | 24dbd6988a519e0c |
| gbdt-symmetric/odd           | model  | IDENTICAL x2 | 3dfdadfd1961d2b5 | 3dfdadfd1961d2b5 |
| gbdt-symmetric/ties          | infer  | IDENTICAL x2 | e71542e71394acc3 | e71542e71394acc3 |
| gbdt-symmetric/ties          | model  | IDENTICAL x2 | d01adab1226baf49 | d01adab1226baf49 |
| gbdt-symmetric/wide          | infer  | IDENTICAL x2 | 9f7630d079f43f07 | 9f7630d079f43f07 |
| gbdt-symmetric/wide          | model  | IDENTICAL x2 | 1cdaebf93c86aa45 | 1cdaebf93c86aa45 |

summary (infer/model): DIVERGENT=18, IDENTICAL=90
