"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"core_device_scan_negative_part6A6A6A6A_c691e2646998e577",4,2512079,628019.750000,0.2546,597205,654553,29479.202470
"__amd_rocclr_copyBuffer",395,2079204,5263.807595,0.2108,1804,108087,6203.544870
"embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999",2,1840687,920343.500000,0.1866,911002,929685,13210.875993
"transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c",48,1832308,38173.083333,0.1857,31472,45784,5691.906340
"transformer_checks_transformer6A6A6A6A_9e49fedb5168a455",48,1814747,37807.229167,0.1840,31552,39010,1095.515117
"transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533",24,1772211,73842.125000,0.1796,70802,76615,1576.145500
"transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae",48,1741100,36272.916667,0.1765,32714,38007,1101.455900
"transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a",24,1728871,72036.291667,0.1753,69519,74972,1524.764971
"mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2",48,1507086,31397.625000,0.1528,26180,35602,2346.548091
"transformer_checks_transformer6A6A6A6A_6755bf37231227cb",48,1375793,28662.354167,0.1395,27102,31512,704.321689
"transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e",48,1374941,28644.604167,0.1394,26781,31351,777.705675
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e",48,1235223,25733.812500,0.1252,24657,27262,614.634424
"training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752",8,1193728,149216.000000,0.1210,148299,151145,860.981666
"training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6",2,1133110,566555.000000,0.1149,565853,567257,992.777921
"embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543",2,1130584,565292.000000,0.1146,558075,572509,10206.379280
"transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f",24,972143,40505.958333,0.0985,38569,42538,789.702832
"transformer_checks_transformer6A6A6A6A_e0aadbba61216e38",24,945243,39385.125000,0.0958,38127,41816,760.780852
"training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214",24,846173,35257.208333,0.0858,30630,56649,5796.914321
"training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304",24,761381,31724.208333,0.0772,31071,33196,463.486877
"transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0",24,700639,29193.291667,0.0710,28144,30109,453.763248
"transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0",24,682116,28421.500000,0.0691,26340,29708,758.763869
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469",50,212366,4247.320000,0.0215,4089,5092,159.513603
"embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb",2,168385,84192.500000,0.0171,83631,84754,794.080915
"embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0",2,162972,81486.000000,0.0165,80344,82628,1615.031888
"embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf",2,51879,25939.500000,5.259e-03,23053,28826,4082.127448
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0",2,21971,10985.500000,2.227e-03,10945,11026,57.275649
"training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc",2,9421,4710.500000,9.550e-04,4530,4891,255.265548
"training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3",2,9342,4671.000000,9.470e-04,4651,4691,28.284271
"training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0",2,9220,4610.000000,9.346e-04,4570,4650,56.568542
"training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8",2,7898,3949.000000,8.006e-04,3929,3969,28.284271
"transformer_impl_llama_modeli6A6A6A6A6A6A_fd7a940bfe0354a7",1,4089,4089.000000,4.145e-04,4089,4089,0.00000000e+00
