EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL corpus
EXPECTED FAIL vendors
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL completed
EXPECTED FAIL loss
EXPECTED FAIL finite
MATCH 0 loss 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4
MATCH 296 loss 2.4726579189300537 2.4726579189300537
MATCH 297 loss 2.470439910888672 2.470439910888672
MATCH 298 loss 2.81789493560791 2.81789493560791
MATCH 299 loss 2.7020387649536133 2.7020387649536133
MATCH 300 loss 2.3244786262512207 2.3244786262512207
MATCH 301 loss 2.6830618381500244 2.6830618381500244
MATCH 302 loss 2.6281075477600098 2.6281075477600098
MATCH 303 loss 2.138411045074463 2.138411045074463
MATCH 304 loss 2.1629343032836914 2.1629343032836914
MATCH 305 loss 2.8913679122924805 2.8913679122924805
MATCH 306 loss 2.072587251663208 2.072587251663208
MATCH 307 loss 2.4683876037597656 2.4683876037597656
MATCH 308 loss 2.433955669403076 2.433955669403076
MATCH 309 loss 2.397404193878174 2.397404193878174
MATCH 310 loss 2.0846550464630127 2.0846550464630127
MATCH 311 loss 2.357006788253784 2.357006788253784
MATCH 312 loss 2.7964673042297363 2.7964673042297363
MATCH 313 loss 4.5792388916015625 4.5792388916015625
MATCH 314 loss 4.174722671508789 4.174722671508789
MATCH 315 loss 3.551560878753662 3.551560878753662
MATCH 316 loss 3.1733016967773438 3.1733016967773438
MATCH 317 loss 2.89330792427063 2.89330792427063
MATCH 318 loss 2.687987804412842 2.687987804412842
MATCH 319 loss 2.081258535385132 2.081258535385132
MATCH 320 loss 2.5347673892974854 2.5347673892974854
MATCH 321 loss 2.5825419425964355 2.5825419425964355
MATCH 322 loss 2.8830957412719727 2.8830957412719727
MATCH 323 loss 3.9429125785827637 3.9429125785827637
MATCH 324 loss 4.1499247550964355 4.1499247550964355
MATCH 325 loss 3.9201650619506836 3.9201650619506836
MATCH 326 loss 3.7915618419647217 3.7915618419647217
MATCH 327 loss 3.34322452545166 3.34322452545166
MATCH 328 loss 3.402097702026367 3.402097702026367
MATCH 329 loss 3.209327220916748 3.209327220916748
MATCH 330 loss 2.8404784202575684 2.8404784202575684
MATCH 331 loss 3.164313554763794 3.164313554763794
MATCH 332 loss 2.859652519226074 2.859652519226074
MATCH 333 loss 3.59647274017334 3.59647274017334
MATCH 334 loss 3.6174299716949463 3.6174299716949463
MATCH 335 loss 2.8157265186309814 2.8157265186309814
MATCH 336 loss 2.3238353729248047 2.3238353729248047
MATCH 337 loss 1.8129591941833496 1.8129591941833496
MATCH 338 loss 3.4660096168518066 3.4660096168518066
MATCH 339 loss 2.794924020767212 2.794924020767212
MATCH 340 loss 2.326584815979004 2.326584815979004
MATCH 341 loss 2.3048932552337646 2.3048932552337646
MATCH 342 loss 1.9841090440750122 1.9841090440750122
MATCH 343 loss 1.8304078578948975 1.8304078578948975
MATCH 344 loss 1.5716428756713867 1.5716428756713867
MATCH 345 loss 1.8623682260513306 1.8623682260513306
MATCH 346 loss 2.2128050327301025 2.2128050327301025
MATCH 347 loss 1.666560173034668 1.666560173034668
MATCH 348 loss 1.4725124835968018 1.4725124835968018
MATCH 349 loss 1.4274630546569824 1.4274630546569824
MATCH 350 loss 1.4259635210037231 1.4259635210037231
MATCH 351 loss 1.7749558687210083 1.7749558687210083
