CORPUS enwik8
EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL completed
EXPECTED FAIL timing
EXPECTED FAIL timing
EXPECTED FAIL loss
EXPECTED FAIL dispatch
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL corpus
EXPECTED FAIL attention
EXPECTED FAIL binding
EXPECTED FAIL finite
MATCH step 0 loss d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22 d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22
MATCH step 226 loss 2.8119707107543945 2.8119707107543945
MATCH step 227 loss 2.7050561904907227 2.7050561904907227
MATCH step 228 loss 2.284557342529297 2.284557342529297
MATCH step 229 loss 3.1091392040252686 3.1091392040252686
MATCH step 230 loss 3.150057315826416 3.150057315826416
MATCH step 231 loss 2.6064324378967285 2.6064324378967285
MATCH step 232 loss 2.605278491973877 2.605278491973877
MATCH step 233 loss 2.533613443374634 2.533613443374634
MATCH step 234 loss 2.432476043701172 2.432476043701172
MATCH step 235 loss 2.661954402923584 2.661954402923584
MATCH step 236 loss 2.9237918853759766 2.9237918853759766
MATCH step 237 loss 2.5685019493103027 2.5685019493103027
MATCH step 238 loss 2.6726865768432617 2.6726865768432617
MATCH step 239 loss 2.5998783111572266 2.5998783111572266
MATCH step 240 loss 2.895129442214966 2.895129442214966
MATCH step 241 loss 3.2393524646759033 3.2393524646759033
MATCH step 242 loss 2.766913414001465 2.766913414001465
MATCH step 243 loss 2.667405605316162 2.667405605316162
MATCH step 244 loss 2.5891990661621094 2.5891990661621094
MATCH step 245 loss 2.5541701316833496 2.5541701316833496
MATCH step 246 loss 2.573176383972168 2.573176383972168
MATCH step 247 loss 2.3598761558532715 2.3598761558532715
MATCH step 248 loss 2.397181510925293 2.397181510925293
MATCH step 249 loss 2.5567612648010254 2.5567612648010254
MATCH step 250 loss 2.366635322570801 2.366635322570801
MATCH step 251 loss 2.3143301010131836 2.3143301010131836
MATCH step 252 loss 2.233731746673584 2.233731746673584
MATCH step 253 loss 2.214293956756592 2.214293956756592
MATCH step 254 loss 2.258223295211792 2.258223295211792
MATCH step 255 loss 2.2663979530334473 2.2663979530334473
MATCH step 256 loss 2.2596473693847656 2.2596473693847656
MATCH step 257 loss 2.3692736625671387 2.3692736625671387
MATCH step 258 loss 2.2900333404541016 2.2900333404541016
