UMAP sparse graph mode IDENTICAL
UMAP_SPARSE_BITS duplicates-mix2 weights 3 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 4 0
UMAP_SPARSE_BITS duplicates-mix2 weights 4 1051634953
UMAP_SPARSE_BITS duplicates-mix2 directed 5 629145597
UMAP_SPARSE_BITS duplicates-mix2 weights 5 1051634953
UMAP_SPARSE_BITS duplicates-mix2 directed 6 0
UMAP_SPARSE_BITS duplicates-mix2 weights 6 0
UMAP_SPARSE_BITS duplicates-mix2 directed 7 1065353216
UMAP_SPARSE_BITS duplicates-mix2 weights 7 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 8 0
UMAP_SPARSE_BITS duplicates-mix2 weights 8 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 9 1065353216
UMAP_SPARSE_BITS duplicates-mix2 weights 9 1065353216
UMAP_SPARSE_BITS duplicates-mix2 directed 10 1065353216
UMAP_SPARSE_BITS duplicates-mix2 weights 10 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 11 0
UMAP_SPARSE_BITS duplicates-mix2 weights 11 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 12 0
UMAP_SPARSE_BITS duplicates-mix2 weights 12 0
UMAP_SPARSE_BITS duplicates-mix2 directed 13 0
UMAP_SPARSE_BITS duplicates-mix2 weights 13 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 14 1058944890
UMAP_SPARSE_BITS duplicates-mix2 weights 14 1050556282
UMAP_SPARSE_BITS duplicates-mix2 directed 15 0
UMAP_SPARSE_BITS duplicates-mix2 weights 15 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 16 1065353216
UMAP_SPARSE_BITS duplicates-mix2 weights 16 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 17 1065353216
UMAP_SPARSE_BITS duplicates-mix2 weights 17 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 18 0
UMAP_SPARSE_BITS duplicates-mix2 weights 18 0
UMAP_SPARSE_BITS duplicates-mix2 directed 19 0
UMAP_SPARSE_BITS duplicates-mix2 weights 19 1042458094
UMAP_SPARSE_BITS duplicates-mix2 directed 20 1060023561
UMAP_SPARSE_BITS duplicates-mix2 weights 20 1051634953
UMAP_SPARSE_BITS duplicates-mix2 directed 21 1065353216
UMAP_SPARSE_BITS duplicates-mix2 weights 21 1065353216
UMAP_SPARSE_BITS duplicates-mix2 directed 22 0
UMAP_SPARSE_BITS duplicates-mix2 weights 22 1050556282
UMAP_SPARSE_BITS duplicates-mix2 directed 23 1050846702
UMAP_SPARSE_BITS duplicates-mix2 weights 23 1042458094
