NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host'] commit=6beb3d394baf21dad5381f2ca11cc043c774dbcf
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| gbdt-pointwise-l2-bayesian-eval/denormal_ftz | model  | IDENTICAL x4 | cc76fd996e83a163 | cc76fd996e83a163 | cc76fd996e83a163 | cc76fd996e83a163 |
| gbdt-pointwise-l2-bayesian-eval/denormal_ftz | batch  | IDENTICAL x4 | 3fd0fe4443273a54 | 3fd0fe4443273a54 | 3fd0fe4443273a54 | 3fd0fe4443273a54 |
| gbdt-pointwise-l2-bayesian-eval/dupes | infer  | IDENTICAL x4 | 9c447c2e24529fa4 | 9c447c2e24529fa4 | 9c447c2e24529fa4 | 9c447c2e24529fa4 |
| gbdt-pointwise-l2-bayesian-eval/dupes | model  | IDENTICAL x4 | fee0ed429e482b4f | fee0ed429e482b4f | fee0ed429e482b4f | fee0ed429e482b4f |
| gbdt-pointwise-l2-bayesian-eval/dupes | batch  | IDENTICAL x4 | 6e7098112cfe3ef6 | 6e7098112cfe3ef6 | 6e7098112cfe3ef6 | 6e7098112cfe3ef6 |
| gbdt-pointwise-l2-bayesian-eval/hashed | infer  | IDENTICAL x4 | c873cc2813bbb900 | c873cc2813bbb900 | c873cc2813bbb900 | c873cc2813bbb900 |
| gbdt-pointwise-l2-bayesian-eval/hashed | model  | IDENTICAL x4 | bc91bc55d5b974b4 | bc91bc55d5b974b4 | bc91bc55d5b974b4 | bc91bc55d5b974b4 |
| gbdt-pointwise-l2-bayesian-eval/hashed | batch  | IDENTICAL x4 | aaa3c0c9e9ff0239 | aaa3c0c9e9ff0239 | aaa3c0c9e9ff0239 | aaa3c0c9e9ff0239 |
| gbdt-pointwise-l2-bayesian-eval/negative | infer  | IDENTICAL x4 | 69fe3fa629a1097d | 69fe3fa629a1097d | 69fe3fa629a1097d | 69fe3fa629a1097d |
| gbdt-pointwise-l2-bayesian-eval/negative | model  | IDENTICAL x4 | f98af47bb5375e00 | f98af47bb5375e00 | f98af47bb5375e00 | f98af47bb5375e00 |
