NOTE: --lanes scopes this diff to 31 lane(s); 135 other lane(s) the JSONs carry are not compared
| lane/fixture                 | verdict    | nvidia-2xh100-sm_90a | amd-2xmi300x-gfx942 | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 |
| par-feature-freq/denormal    | IDENTICAL x5 | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b |
| par-feature-freq/denormal_ftz | IDENTICAL x5 | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b |
| par-feature-freq/dupes       | IDENTICAL x5 | e8c61a9407503755 | e8c61a9407503755 | e8c61a9407503755 | e8c61a9407503755 | e8c61a9407503755 |
| par-feature-freq/hashed      | IDENTICAL x5 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 |
| par-feature-freq/negative    | IDENTICAL x5 | 75028913a14bb938 | 75028913a14bb938 | 75028913a14bb938 | 75028913a14bb938 | 75028913a14bb938 |
| par-feature-freq/odd         | IDENTICAL x5 | c481331145bfb998 | c481331145bfb998 | c481331145bfb998 | c481331145bfb998 | c481331145bfb998 |
| par-feature-freq/ties        | IDENTICAL x5 | 57ff9964d1af1d4a | 57ff9964d1af1d4a | 57ff9964d1af1d4a | 57ff9964d1af1d4a | 57ff9964d1af1d4a |
| par-feature-freq/wide        | IDENTICAL x5 | c6d7fccba2483372 | c6d7fccba2483372 | c6d7fccba2483372 | c6d7fccba2483372 | c6d7fccba2483372 |
| par-forest-et/base           | IDENTICAL x5 | 754d8c127ecfc04d | 754d8c127ecfc04d | 754d8c127ecfc04d | 754d8c127ecfc04d | 754d8c127ecfc04d |
| par-forest-et/denormal       | IDENTICAL x5 | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| par-forest-et/denormal_ftz   | IDENTICAL x5 | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| par-forest-et/dupes          | IDENTICAL x5 | 9a63fea590f79a67 | 9a63fea590f79a67 | 9a63fea590f79a67 | 9a63fea590f79a67 | 9a63fea590f79a67 |
| par-forest-et/hashed         | IDENTICAL x5 | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f |
| par-forest-et/negative       | IDENTICAL x5 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 |
| par-forest-et/odd            | IDENTICAL x5 | c9fe7c90673c2661 | c9fe7c90673c2661 | c9fe7c90673c2661 | c9fe7c90673c2661 | c9fe7c90673c2661 |
| par-forest-et/ties           | IDENTICAL x5 | e7072e1c8fe0083c | e7072e1c8fe0083c | e7072e1c8fe0083c | e7072e1c8fe0083c | e7072e1c8fe0083c |
| par-forest-et/wide           | IDENTICAL x5 | b745e53515f59cac | b745e53515f59cac | b745e53515f59cac | b745e53515f59cac | b745e53515f59cac |
| par-forest/base              | IDENTICAL x5 | 21178dc5457bf5dc | 21178dc5457bf5dc | 21178dc5457bf5dc | 21178dc5457bf5dc | 21178dc5457bf5dc |
| par-forest/denormal          | IDENTICAL x5 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c |
