# the batch part of diff.three-columns.txt: every batch row and its summary
|------------------------------|------------|------------------|------------------|------------------|
| byte-lm-host-infer/denormal  | batch  | IDENTICAL x3 | faffe97b72d9fe37 | faffe97b72d9fe37 | faffe97b72d9fe37 |
| byte-lm-host-infer/denormal_ftz | batch  | IDENTICAL x3 | 939402dcf3954d4f | 939402dcf3954d4f | 939402dcf3954d4f |
| byte-lm-host-infer/dupes     | batch  | IDENTICAL x3 | 11238b320c9572d3 | 11238b320c9572d3 | 11238b320c9572d3 |
| byte-lm-host-infer/hashed    | batch  | IDENTICAL x3 | 2e1facc4833a2235 | 2e1facc4833a2235 | 2e1facc4833a2235 |
| byte-lm-host-infer/negative  | batch  | IDENTICAL x3 | 50b6c632cc98d71b | 50b6c632cc98d71b | 50b6c632cc98d71b |
| byte-lm-host-infer/odd       | batch  | IDENTICAL x3 | 2eccb20888ca5cee | 2eccb20888ca5cee | 2eccb20888ca5cee |
| byte-lm-host-infer/ties      | batch  | IDENTICAL x3 | 4247444b5e741c45 | 4247444b5e741c45 | 4247444b5e741c45 |
| byte-lm-host-infer/wide      | batch  | IDENTICAL x3 | c2bbaa85ae76f739 | c2bbaa85ae76f739 | c2bbaa85ae76f739 |
| byte-lm-host-train/base      | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-host-train/denormal  | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-host-train/denormal_ftz | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-host-train/dupes     | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-host-train/hashed    | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-host-train/negative  | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-host-train/odd       | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-host-train/ties      | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-host-train/wide      | batch  | N/A          | n/a:training-step | n/a:training-step | n/a:training-step |
| byte-lm-resident/base        | batch  | IDENTICAL x3 | c44734e41960ea7d | c44734e41960ea7d | c44734e41960ea7d |
| byte-lm-resident/denormal    | batch  | IDENTICAL x3 | 9a4f9d37b38b6127 | 9a4f9d37b38b6127 | 9a4f9d37b38b6127 |
| byte-lm-resident/denormal_ftz | batch  | IDENTICAL x3 | 3e3cfcb8788e7cf3 | 3e3cfcb8788e7cf3 | 3e3cfcb8788e7cf3 |
| byte-lm-resident/dupes       | batch  | IDENTICAL x3 | ad53b8960db92852 | ad53b8960db92852 | ad53b8960db92852 |
| byte-lm-resident/hashed      | batch  | IDENTICAL x3 | 2a8fad887169cf0e | 2a8fad887169cf0e | 2a8fad887169cf0e |
| byte-lm-resident/negative    | batch  | IDENTICAL x3 | 6daa8fd7fe40b602 | 6daa8fd7fe40b602 | 6daa8fd7fe40b602 |
| byte-lm-resident/odd         | batch  | IDENTICAL x3 | c44734e41960ea7d | c44734e41960ea7d | c44734e41960ea7d |
| byte-lm-resident/ties        | batch  | IDENTICAL x3 | 4178e56fb2b92328 | 4178e56fb2b92328 | 4178e56fb2b92328 |
| byte-lm-resident/wide        | batch  | IDENTICAL x3 | 6d2986674bd92c94 | 6d2986674bd92c94 | 6d2986674bd92c94 |
| byte-lm/base                 | batch  | IDENTICAL x3 | c44734e41960ea7d | c44734e41960ea7d | c44734e41960ea7d |
| byte-lm/denormal             | batch  | IDENTICAL x3 | 9a4f9d37b38b6127 | 9a4f9d37b38b6127 | 9a4f9d37b38b6127 |
| byte-lm/denormal_ftz         | batch  | IDENTICAL x3 | 3e3cfcb8788e7cf3 | 3e3cfcb8788e7cf3 | 3e3cfcb8788e7cf3 |
| byte-lm/dupes                | batch  | IDENTICAL x3 | ad53b8960db92852 | ad53b8960db92852 | ad53b8960db92852 |
| byte-lm/hashed               | batch  | IDENTICAL x3 | 2a8fad887169cf0e | 2a8fad887169cf0e | 2a8fad887169cf0e |
| byte-lm/negative             | batch  | IDENTICAL x3 | 6daa8fd7fe40b602 | 6daa8fd7fe40b602 | 6daa8fd7fe40b602 |
