NOTE: --lanes scopes this diff to 2 lane(s); 164 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_mamba_host', '_mojolearn_training_host', '_mojolearn_transformer_host'] commit=4cc3609e29decd335496e069032d3fcfc266b0d6
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| samba/negative               | infer  | IDENTICAL x4 | 3a11eda41792501b | 3a11eda41792501b | 3a11eda41792501b | 3a11eda41792501b |
| samba/negative               | model  | IDENTICAL x4 | bf0a203a904b24cf | bf0a203a904b24cf | bf0a203a904b24cf | bf0a203a904b24cf |
| samba/negative               | batch  | IDENTICAL x4 | 87de84abeab25d86 | 87de84abeab25d86 | 87de84abeab25d86 | 87de84abeab25d86 |
| samba/odd                    | infer  | IDENTICAL x4 | 77db10c414ebd846 | 77db10c414ebd846 | 77db10c414ebd846 | 77db10c414ebd846 |
| samba/odd                    | model  | IDENTICAL x4 | 674582804fcf1a50 | 674582804fcf1a50 | 674582804fcf1a50 | 674582804fcf1a50 |
| samba/odd                    | batch  | IDENTICAL x4 | aacbe0585755bc0f | aacbe0585755bc0f | aacbe0585755bc0f | aacbe0585755bc0f |
| samba/ties                   | infer  | IDENTICAL x4 | a777e99f0a27b647 | a777e99f0a27b647 | a777e99f0a27b647 | a777e99f0a27b647 |
| samba/ties                   | model  | IDENTICAL x4 | 1e49500f833e02a1 | 1e49500f833e02a1 | 1e49500f833e02a1 | 1e49500f833e02a1 |
| samba/ties                   | batch  | IDENTICAL x4 | ca83b11a24eb8695 | ca83b11a24eb8695 | ca83b11a24eb8695 | ca83b11a24eb8695 |
| samba/wide                   | infer  | IDENTICAL x4 | a9c9aafd145646b1 | a9c9aafd145646b1 | a9c9aafd145646b1 | a9c9aafd145646b1 |
| samba/wide                   | model  | IDENTICAL x4 | 6adcd1530cd32c5e | 6adcd1530cd32c5e | 6adcd1530cd32c5e | 6adcd1530cd32c5e |
| samba/wide                   | batch  | IDENTICAL x4 | 609a185bf1638192 | 609a185bf1638192 | 609a185bf1638192 | 609a185bf1638192 |

summary (infer/model): IDENTICAL=36
summary (batch): IDENTICAL=18
require-columns 4 over ['samba', 'samba-untied-dropout-accum']: OK
