3328 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x112800000000, nodemask=1)
3328 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x7bd0c0000000, nodemask=2)
# vendor=nvidia-nvidia-h100-80gb-hbm3-sm_90a commit=71faae7815f4c93921de494b9f1625e7c1abf821 (commit.txt)
# identity_break  mode=identical  2026-09-14 11:20:46  Linux-6.8.0-106-generic-x86_64-with-glibc2.35
# per lane: the train row, then an `infer` row (held-out rows) and a `model` row (saved bytes) where the lane has them
| lane                   | base             | ties             | hashed           | wide             | denormal         | denormal_ftz     | dupes            | odd              | negative         |
| knn-reg                | 33e7da5c3fdd343c | 556283a80ad1e387 | 81f9b8890b3f8185 | 0d128580a2408383 | 4c84ea510c9509c5 | 4c84ea510c9509c5 | 3bb71dcd3b676bd6 | 4fddd38927851559 | b34860cd7e03c8fe |
| knn-reg infer          | 12b3c8b2763ae645 | fcbc1a112c60d1d0 | 4223804b361954e6 | 4b2e95d49bb291c5 | 511f71a64fa48d7a | 511f71a64fa48d7a | 0e04bd5ca4150340 | e53e4bfa78bd428a | ca725c74b7aec59b |
| knn-reg model          | 7404b5d0a3a97d83 | 059724706575c43d | 0ed94f6eaca5e6f1 | 42c9143b5b930be3 | cb7e52aa73863e31 | 5b7edbee629a2813 | dd4b16d90ea35aff | abb699bdbb2dd963 | 66c3df348fcdf3b4 |
| dbscan                 | 64df251bd00de81b | b7535355c1581603 | d17808b4b9261d5d | d17808b4b9261d5d | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 64df251bd00de81b | 54d129f45630ea84 | bb6bd31e075693e9 |
| pca                    | 426e098860cb885e | 2cc3098a82f5e29c | 9c43c580f84b913e | ee30334357c2fe6e | 632dd2d41a856846 | 632dd2d41a856846 | f0d80567379e28e4 | 2bde4e929e103470 | c4903e2bddacb305 |
| pca infer              | 5ec98c317c9314a6 | 470065a905e144bf | da7f8a40931a091a | abbcfa36cfc4cc81 | d28a4176d38a79ad | d28a4176d38a79ad | 25b7f77104e4b5b3 | 9f765336b6cbcc11 | bed836c726c23255 |
| pca model              | b41a408ef6ffb8c9 | e3f6772a15daedcd | a9bcbe53314d1a00 | dec2221e136875c8 | 85752b8d4fc03a22 | 85752b8d4fc03a22 | 9c5913e3831259e4 | 87d34e709375c9b5 | 2a61ff40547fab89 |
| pca-whiten             | a6f7b7e7740ab870 | 800aa9562d74205a | bd54e912967247a3 | ecc05204c013c1dc | 00315760b27195a0 | 00315760b27195a0 | fdeed1b8a376df1c | fa3b5c3d4156b2f5 | 031422ed11e3113c |
| pca-whiten infer       | 709a8b5fd739ea88 | 93df8c7780a1dc30 | 8130d3129e938e81 | d8d2dfc5b9e536e9 | 84eb842a6f5bc6ed | 84eb842a6f5bc6ed | cb67bba34aa48975 | 0cb03f6ee0148b33 | 82643cf68620a701 |
| pca-whiten model       | 3cb41b8be892ff28 | 63bb89eef2aad3aa | 05ec6c95b9cc7292 | 777bd45f4ac455d6 | 2feb67b35a90e40b | 2feb67b35a90e40b | 6e2deea86bf88523 | c27de6c5434851e9 | acc4c0d90292d693 |
| tsvd                   | 8e8d20af1d08720c | 86d6e87cfc1f48c0 | 7eeaca88b0e6a8de | 975f2a167b1ac6d5 | 36d9e3d5aaadcd92 | 36d9e3d5aaadcd92 | 9a24cf55eff6013c | 452fd865062565da | 22e0958cc1ded92d |
| tsvd infer             | 36793a22ecfc11d9 | 441e224141ca3ef4 | a253da0a489ff1d7 | cef9d6af2957dea2 | fc4af18e4659ab46 | fc4af18e4659ab46 | b20d1e18ded5c227 | 4ca5ee061209a589 | 47e1b7225f50fa55 |
| tsvd model             | dad8484c8148cc3a | 5aa8d4139303b4c2 | 9b2cd491dca9241a | d1350f18d6205fbb | 3ddbcba0a9ba339d | 3ddbcba0a9ba339d | 0ccf336c88307c6c | efe0b4a3e0f314b8 | 27c536a4f0a5c619 |
| ols                    | 3d1d7c30b12d9872 | c73c0c1158ebcb9e | 7a4cc4b643207e04 | 880f803e2a9840cf | f0e2e46f2203e17d | f0e2e46f2203e17d | 5d93af9edf61d3e7 | bfb2368a5a4871ba | 737566e6c5e95e7d |
| ols infer              | 2546a13c03838433 | 55f61f34cae7e5ff | 73b6c23acb537f4f | c40c1d99f114c282 | 050118359943fcd8 | 050118359943fcd8 | 09ac924358918527 | 60eb6ff64dfbea28 | ddf1f9ebb606db70 |
| ols model              | a84289377ea9180f | b25d3a2214bc6196 | 5de64f00889bfe52 | 926f863307451ea0 | 1c22cb64d07612e4 | 1c22cb64d07612e4 | ef68b4364cd0fa2d | fcd41cbad6561bbb | f534c0184e2b735f |
| ridge                  | a91478be750dc756 | 42410e35cdae30cb | fb5037b3d70d60ee | 7215c2605901cdc6 | 2eed6e454ed965da | 2eed6e454ed965da | c69b8fef7932da21 | bdaf14e02a8f07ec | 473e3ff40fc67b0e |
| ridge infer            | a5a404bb201b0eeb | d23a652e5f82906f | 1f692bf67099df47 | cc8d5d1192f32b52 | 4233d399ae41d2e6 | 4233d399ae41d2e6 | 3e10053ac0b9fbd4 | 83420de0d62b5c95 | 174ab0d4049ee591 |
| ridge model            | efada80fdc2d4259 | 824a2e3b44b31af4 | 05a9504a256753f0 | 2869ff3b7b3a7558 | 80113efe9b48cc79 | 80113efe9b48cc79 | 11e592057872c1e0 | 3f77c9c16c29bd84 | ad885ca7374525bd |
| logistic               | 5b1e42c308451935 | aa9b1fa93dc2ad08 | ec4fd3f1b3f90393 | 4e980d6d6bb17dd2 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 | 8b3071b0cd8446b2 | 3c0d0924516a37e8 | b50b9cbe101d71d8 |
| logistic infer         | 103f76e4a2b23c03 | 31ae5dc087daddea | dfe219d0b67a77ca | 0b4e034053a507a6 | 2092f79961286d8a | 2092f79961286d8a | df012d0cb1286818 | 7540ab14779d65c6 | 00fff477b42c65a0 |
| logistic model         | 1b51b4eabdcf59e2 | eff4803be10700c8 | ee3cb3e174ae7c73 | 576c92b63ada584d | 0f11207a162b3b64 | 0f11207a162b3b64 | 4b387ce327c969d6 | 1be05ca406afb6a5 | 61cb0a45d1792d44 |
| lasso                  | 2fa3301e45a46091 | 1e207f82f555270b | 0446105edc307f9c | d0df889b0ede05a7 | 5374b434a96382d6 | 5374b434a96382d6 | beafb1d480c34cf4 | 5593579edd6113d6 | c332c713694ff28d |
| lasso infer            | 7334b38e7b651e27 | ff61f45db38db46d | 482da47ba9b49877 | 1f85238c927b088e | b92e9bfda9b725b4 | b92e9bfda9b725b4 | 727d68f61ef51bfb | 1c17e2eb1ef6a2e2 | 0167126d36a4243d |
| elasticnet             | 2cf742083831ee9d | 118eac19578010ab | 00b6923d62a41c0a | ef8800eaf0ca4f87 | 3add60ff69fd788c | 3add60ff69fd788c | 97d4c8c235d38bfe | 1a518e703b7dd1d9 | 7624315e7deffe10 |
| elasticnet infer       | 483bce4b8cc1a137 | a767a79709358382 | db0926772dbaaff4 | e37614bc5b2ef0af | 0047832ca8c561a3 | 0047832ca8c561a3 | fc18f039274052f1 | 75a88217f1114867 | a21e833e3e925b89 |
| svc                    | dec306e940b8a444 | 2093351e33d072ed | 274bf9087fb0750e | 550d1845e417ca18 | 549c0b5c319d84cf | 549c0b5c319d84cf | b2f0d9a49c9f241c | 61b1676a7e40c914 | 667155f7eda847aa |
| svc infer              | 4aee3fcc51c4761e | e400ffe98db4b786 | 94cb46a9aa6a811c | ee2e31ef0e3bbfcb | ebc593040592ca1e | ebc593040592ca1e | 6e5c253fa1d7ea5b | acd970db5a3ae605 | 685bebcb29a0cf8c |
| svc model              | d357dc9836994075 | a934b5c5cbd2fb59 | c1eb413ecf366aab | 19e15b0ab3ceac90 | 29bbbd98ccefdde2 | 55604dc15ce7c411 | 39bb289a465d4e42 | 1cf6ac54635490ef | ebadbb39c9f25a8d |
| kde                    | e0d6e3d0623d6112 | 0a800c7b3cca66e4 | dc279c30b7c5d070 | 36c3cbb2ef71f768 | 2128392fe1eb228a | 2128392fe1eb228a | e0d6e3d0623d6112 | 8a2b6beee09a98f3 | 84ca35b6a157c265 |
| kde infer              | 1a2c3054b661b72a | 63b4da91ce458ab7 | f0d1cae79c88ca8a | 39622885a3c508a9 | 21caf753bc5b6352 | 21caf753bc5b6352 | 1a2c3054b661b72a | e49f797e443af916 | 30a64b99c13a89c4 |
| kde model              | cd5469f3b8854867 | c6b86284b81d2eea | 9d8fc4cff3c9ae8e | 4d511b1377a350b9 | ddc0470537b3c6d1 | 6e413286a1f8aebb | cd5469f3b8854867 | eaf7436bbd4ff68f | 14b5ed33ef52d808 |
| agglomerative          | ad11b976bfbfc20b | 7dea8a094150b8a9 | 196c79a60c16166c | 24b2baa4533fb568 | b05982504c7e8646 | b05982504c7e8646 | ad11b976bfbfc20b | c747a33eff11bbe1 | 795f9975eb5ed985 |
| spectral               | 7dd80ac8f13fc9eb | f160e7dc7c262f73 | 2bd3b69e87fa6b9b | d1857f998728ef34 | 4544b0d64dd6ad84 | 4544b0d64dd6ad84 | 7dd80ac8f13fc9eb | a48b941d2c585a12 | de29c53c40a728c5 |
| holtwinters            | 9781c2061a287937 | b2a5df45db1395b0 | 66f688c307cabc3b | 560cdc45a69cc987 | db35c88da059e9e1 | db35c88da059e9e1 | 9781c2061a287937 | 8fb4dd76d8080a46 | 8fa4116875bdf59c |
| holtwinters infer      | f930b5ed0ef2c318 | a48df2766423502f | bfa4a149ae74602c | 5df1cfaa8f4b4e78 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | f930b5ed0ef2c318 | baeea8494596eeb9 | c03b71a1af7f0d5c |
| gemm-pinned            | 931036cbc84c1ce0 | 8ddd60b67526c1b1 | 06057c0eeb212963 | 01701582fa724ce4 | 026720f450eda8a3 | 026720f450eda8a3 | 4d5d6e4a621ef9af | d5a7a31e551215d9 | 1ef67a1833b19819 |
| metrics                | 2e2d6c84f00b9a0b | ea3e4d8076a7ea42 | 2a276b0f2347d198 | 1244dee823ddccf9 | 70d525921f2192ca | 70d525921f2192ca | b9bf5106a8b03644 | 8a7b2852763f246e | 745d2eae0be9da2c |
| svr                    | 2afafe190450304b | d69c878738f75a68 | cab554d4bdf018d2 | 089b83a32233143b | e916e4426dcd5a14 | e916e4426dcd5a14 | 6e2a4421f6b02f85 | 07d6f7035db0e04b | 157297e596168454 |
| svr infer              | 021831e9ffd2bb9d | 0a371cbfd4cbe5c1 | 6ea59f77ab4b672a | 62661f1f0efa01f4 | 13643cd05c4a641d | 13643cd05c4a641d | 2d84831c33ef58e0 | 7a2173bef2f1dcbe | 9815b80b4546e3a3 |
