Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.2,1946819,24,81117.5,81184.5,80513,81504,290.5,transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a
0.2,1936963,24,80706.8,80783.5,80320,81088,234.7,transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533
0.2,1731234,2,865617.0,865617.0,865377,865857,339.4,embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999
0.2,1668930,24,69538.8,69535.5,69216,69920,196.1,transformer_checks_transformer6A6A6A6A_e0aadbba61216e38
0.2,1579302,24,65804.3,65760.5,65599,66240,145.1,transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f
0.2,1550403,48,32300.1,32336.0,31584,33537,588.6,mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2
0.2,1535650,2,767825.0,767825.0,767713,767937,158.4,training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6
0.1,1517512,48,31614.8,31648.5,31072,32736,404.8,transformer_checks_transformer6A6A6A6A_6755bf37231227cb
0.1,1516452,48,31592.8,31456.0,31264,32384,301.0,transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e
0.1,1466945,8,183368.1,183472.0,182816,183745,304.1,training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752
0.1,1135684,24,47320.2,47248.0,47073,47872,223.8,training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304
0.1,1134944,24,47289.3,47216.0,44832,48224,661.1,training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214
0.1,954498,24,39770.8,39744.0,39201,40416,371.7,transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0
0.1,911422,48,18988.0,18975.0,18177,20384,523.7,gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e
0.1,739392,24,30808.0,30816.0,30688,30976,58.3,transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0
0.1,657153,2,328576.5,328576.5,327873,329280,994.9,embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543
0.0,239392,2,119696.0,119696.0,119552,119840,203.6,embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0
0.0,183488,2,91744.0,91744.0,91712,91776,45.3,embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb
0.0,167237,50,3344.7,3392.0,1888,3552,303.8,gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469
0.0,141088,2,70544.0,70544.0,70304,70784,339.4,embedding_checks_embedding_ide6A6A6A6A_5cfa05e12c6f7255
0.0,71105,2,35552.5,35552.5,35328,35777,317.5,embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf
0.0,12352,2,6176.0,6176.0,6176,6176,0.0,gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0
0.0,4896,2,2448.0,2448.0,2144,2752,429.9,training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3
0.0,3329,2,1664.5,1664.5,1633,1696,44.5,training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc
0.0,2720,2,1360.0,1360.0,1312,1408,67.9,training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0
0.0,2656,2,1328.0,1328.0,1312,1344,22.6,training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8
0.0,1792,1,1792.0,1792.0,1792,1792,0.0,transformer_impl_llama_modeli6A6A6A6A6A6A_fd7a940bfe0354a7
