NOTE: --lanes scopes this diff to 3 lane(s); 163 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_linalg_host', '_mojolearn_neural_host', '_mojolearn_training_host', '_mojolearn_transformer_host'] commit=fecde81e041be7edbfa44580e68b7016678ebe57
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| transformer/base             | infer  | DIVERGENT    | d658bafd272776e1 | d658bafd272776e1 | d658bafd272776e1 | 07f9d37e77d87002 |
| transformer/base             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/base             | batch  | DIVERGENT    | 321df8136b576084 | 321df8136b576084 | 321df8136b576084 | 0b12906fcf644a41 |
| transformer/base             | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 41c065998015307c |
| transformer/denormal         | infer  | DIVERGENT    | 2dd718be6601b4be | 2dd718be6601b4be | 2dd718be6601b4be | d1f168584e9e1a72 |
| transformer/denormal         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/denormal         | batch  | DIVERGENT    | aad837e59ba3f9c6 | aad837e59ba3f9c6 | aad837e59ba3f9c6 | 53dd0889d21e13ca |
| transformer/denormal         | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 174e6a3a08b33eab |
| transformer/denormal_ftz     | infer  | DIVERGENT    | 2dd718be6601b4be | 2dd718be6601b4be | 2dd718be6601b4be | d1f168584e9e1a72 |
| transformer/denormal_ftz     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/denormal_ftz     | batch  | DIVERGENT    | aad837e59ba3f9c6 | aad837e59ba3f9c6 | aad837e59ba3f9c6 | 53dd0889d21e13ca |
| transformer/denormal_ftz     | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 3e90019a6be2628a |
| transformer/dupes            | infer  | DIVERGENT    | cc0485bd3463891b | cc0485bd3463891b | cc0485bd3463891b | 72dcdfaf205c34af |
| transformer/dupes            | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/dupes            | batch  | DIVERGENT    | 4b51e3c2db7f9667 | 4b51e3c2db7f9667 | 4b51e3c2db7f9667 | 2dac2083ee6c5599 |
| transformer/dupes            | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 41c065998015307c |
| transformer/hashed           | infer  | DIVERGENT    | 33aa6df81aac0bcd | 33aa6df81aac0bcd | 33aa6df81aac0bcd | 2d6dbb6822c186f1 |
| transformer/hashed           | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/hashed           | batch  | DIVERGENT    | 10988a93701693a8 | 10988a93701693a8 | 10988a93701693a8 | 4db1da4bb28c01e4 |
| transformer/hashed           | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | d64e16e9457f1512 |
| transformer/negative         | infer  | DIVERGENT    | 0804b57610d9b1f5 | 0804b57610d9b1f5 | 0804b57610d9b1f5 | 2bf1485119797852 |
| transformer/negative         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/negative         | batch  | DIVERGENT    | 55ca8b3a54e10ffa | 55ca8b3a54e10ffa | 55ca8b3a54e10ffa | 27de71a8fe28a6f9 |
