| lane/fixture                 | verdict    | amd-gfx942-one   | amd-gfx942-two   |
|------------------------------|------------|------------------|------------------|
| par-logistic/denormal        | batch  | IDENTICAL x2 | 6182a550f7c6b137 | 6182a550f7c6b137 |
| par-logistic/ties            | infer  | IDENTICAL x2 | 8a1d2ad97d836335 | 8a1d2ad97d836335 |
| par-logistic/ties            | model  | IDENTICAL x2 | e16d54529c74ace0 | e16d54529c74ace0 |
| par-logistic/ties            | batch  | IDENTICAL x2 | 3594c75aa660c377 | 3594c75aa660c377 |
| par-scaler/base              | infer  | IDENTICAL x2 | 863b29629a9e28f0 | 863b29629a9e28f0 |
| par-scaler/base              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| par-scaler/base              | batch  | IDENTICAL x2 | d43a553e31475bb8 | d43a553e31475bb8 |
| par-scaler/denormal          | infer  | IDENTICAL x2 | 1c9a29bf62333c70 | 1c9a29bf62333c70 |
| par-scaler/denormal          | model  | N/A          | n/a:no-save      | n/a:no-save      |
| par-scaler/denormal          | batch  | IDENTICAL x2 | c6b730990d29205a | c6b730990d29205a |
| par-scaler/ties              | infer  | IDENTICAL x2 | 60e3cffe34b519ef | 60e3cffe34b519ef |
| par-scaler/ties              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| par-scaler/ties              | batch  | IDENTICAL x2 | 046afd3d0c8fb976 | 046afd3d0c8fb976 |

summary (infer/model): IDENTICAL=33, N/A=9
summary (batch): IDENTICAL=18, N/A=3
