| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| kmeans/ties                  | IDENTICAL x3 | 3de3e103006de69c | 3de3e103006de69c | 3de3e103006de69c |
| kmeans/wide                  | IDENTICAL x3 | 6f0529fcb3d60536 | 6f0529fcb3d60536 | 6f0529fcb3d60536 |
| knn-clf/base                 | IDENTICAL x3 | 7fb71bb7ee2b9cbf | 7fb71bb7ee2b9cbf | 7fb71bb7ee2b9cbf |
| knn-clf/denormal             | IDENTICAL x3 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 |
| knn-clf/denormal_ftz         | IDENTICAL x3 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 |
| knn-clf/dupes                | IDENTICAL x3 | 855703a33d6460e5 | 855703a33d6460e5 | 855703a33d6460e5 |
| knn-clf/hashed               | IDENTICAL x3 | 9ddcb99c00d6b865 | 9ddcb99c00d6b865 | 9ddcb99c00d6b865 |
| knn-clf/negative             | IDENTICAL x3 | 14109bcae1b2b950 | 14109bcae1b2b950 | 14109bcae1b2b950 |
| knn-clf/odd                  | IDENTICAL x3 | b875a97832653115 | b875a97832653115 | b875a97832653115 |
| knn-clf/ties                 | IDENTICAL x3 | e49edb14ac08e443 | e49edb14ac08e443 | e49edb14ac08e443 |
| knn-clf/wide                 | IDENTICAL x3 | a3167e29faf6ab4f | a3167e29faf6ab4f | a3167e29faf6ab4f |
| knn-reg/base                 | IDENTICAL x3 | 33e7da5c3fdd343c | 33e7da5c3fdd343c | 33e7da5c3fdd343c |
| knn-reg/denormal             | IDENTICAL x3 | 4c84ea510c9509c5 | 4c84ea510c9509c5 | 4c84ea510c9509c5 |
| knn-reg/denormal_ftz         | IDENTICAL x3 | 4c84ea510c9509c5 | 4c84ea510c9509c5 | 4c84ea510c9509c5 |
| knn-reg/dupes                | IDENTICAL x3 | 3bb71dcd3b676bd6 | 3bb71dcd3b676bd6 | 3bb71dcd3b676bd6 |
| knn-reg/hashed               | IDENTICAL x3 | 81f9b8890b3f8185 | 81f9b8890b3f8185 | 81f9b8890b3f8185 |
| knn-reg/negative             | IDENTICAL x3 | b34860cd7e03c8fe | b34860cd7e03c8fe | b34860cd7e03c8fe |
| knn-reg/odd                  | IDENTICAL x3 | 4fddd38927851559 | 4fddd38927851559 | 4fddd38927851559 |
| knn-reg/ties                 | IDENTICAL x3 | 556283a80ad1e387 | 556283a80ad1e387 | 556283a80ad1e387 |
| knn-reg/wide                 | IDENTICAL x3 | 0d128580a2408383 | 0d128580a2408383 | 0d128580a2408383 |
| knn/base                     | IDENTICAL x3 | 6869ae45e01fcb7a | 6869ae45e01fcb7a | 6869ae45e01fcb7a |
| knn/denormal                 | IDENTICAL x3 | c5404ea40ba502da | c5404ea40ba502da | c5404ea40ba502da |
| knn/denormal_ftz             | IDENTICAL x3 | c5404ea40ba502da | c5404ea40ba502da | c5404ea40ba502da |
| knn/dupes                    | IDENTICAL x3 | 55dffcfe5d6aa112 | 55dffcfe5d6aa112 | 55dffcfe5d6aa112 |
| knn/hashed                   | IDENTICAL x3 | 96db6b5a57d4d248 | 96db6b5a57d4d248 | 96db6b5a57d4d248 |
| knn/negative                 | IDENTICAL x3 | b73513bc451075d0 | b73513bc451075d0 | b73513bc451075d0 |
| knn/odd                      | IDENTICAL x3 | f4ddd08c4744ae8d | f4ddd08c4744ae8d | f4ddd08c4744ae8d |
